%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.circle_diameter,field.orientation,field.x,field.y,field.minor_axis_average
1592978902289032001,7707,1592978902268055329,,175.034881592,121.953971863,0.0,-0.784746646881,360.820007324,265.681121826,146.822753906
1592978902319692384,7708,1592978902300086190,,177.967514038,118.837348938,0.0,-0.894278168678,363.433532715,267.130218506,146.389678955
1592978902346227780,7709,1592978902331695576,,184.395904541,118.671844482,0.0,-0.887780249119,362.595275879,268.494171143,145.885284424
1592978902390959313,7710,1592978902367780260,,167.836013794,121.318252563,0.0,-1.00161826611,367.852355957,267.150238037,145.657867432
1592978902420489112,7711,1592978902400073105,,185.820037842,115.517608643,0.0,-1.00377488136,364.495635986,272.611785889,144.895492554
1592978902447937078,7712,1592978902430177792,,176.989486694,117.334159851,0.0,-1.0596716404,367.304351807,270.909240723,144.377304077
1592978902480950381,7713,1592978902466023777,,188.774520874,121.30330658,0.0,-1.16782557964,367.323181152,269.359313965,144.384628296
1592978902520592470,7714,1592978902499662442,,188.728546143,122.788902283,0.0,-1.19045162201,369.507446289,273.535827637,144.597976685
1592978902549807664,7715,1592978902531954450,,181.359588623,121.670700073,0.0,-1.21503221989,370.508544922,273.363220215,144.728851318
1592978902584945644,7716,1592978902567959905,,191.601791382,117.080375671,0.0,-1.2959189415,373.972290039,278.053131104,144.272842407
1592978902622969793,7717,1592978902599900466,,180.079040527,118.700904846,0.0,-1.43779039383,377.223419189,276.711456299,143.96673584
1592978902651827530,7718,1592978902635694457,,188.192077637,121.25642395,0.0,-1.46284246445,376.595977783,279.772155762,143.643386841
1592978902685822173,7719,1592978902667894035,,183.440155029,126.082511902,0.0,-1.50594186783,379.740783691,278.914825439,144.056228638
1592978902718377465,7720,1592978902699964226,,187.167419434,130.861160278,0.0,1.49357128143,382.080780029,278.182769775,145.258621216
1592978902750336517,7721,1592978902735997469,,185.783843994,129.921676636,0.0,1.4745310545,383.608551025,277.824249268,146.383605957
