%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration
1592037447165365823,525,1592037447112277030,,0.0665299966931
1592037447217821753,526,1592037447165011882,,0.0908199995756
1592037447270741846,527,1592037447217463970,,0.10447999835
1592037447323064276,528,1592037447270935058,,0.0966000035405
1592037447376021225,529,1592037447322671890,,0.0727500021458
1592037447428786116,530,1592037447376215934,,0.043940000236
1592037447481203569,531,1592037447428652048,,0.0156500004232
1592037447535486946,532,1592037447481307029,,-0.0200800001621
1592037447588821166,533,1592037447535679101,,-0.0376400016248
1592037447641016328,534,1592037447589011907,,-0.0336199998856
1592037447693538013,535,1592037447640661001,,-0.0215799994767
1592037447745913450,536,1592037447693177938,,-0.00870999973267
1592037447848383045,537,1592037447745626926,,0.000190000006114
1592037447900317607,538,1592037447848011016,,0.00832000002265
1592037447954915190,539,1592037447900027990,,0.0157600007951
1592037448006715567,540,1592037447954288005,,0.0160900000483
1592037448109592924,541,1592037448006777048,,0.0140100000426
1592037448161944506,542,1592037448109302043,,0.0157600007951
1592037448214707096,543,1592037448161982059,,0.0177200008184
1592037448267300548,544,1592037448214621067,,0.00990999955684
1592037448321368996,545,1592037448267095088,,0.000959999975748
1592037448373406943,546,1592037448321268081,,-0.00541000021622
1592037448425040718,547,1592037448373066902,,-0.00685000000522
1592037448477046537,548,1592037448424784898,,-0.0105799995363
1592037448528383419,549,1592037448476670980,,-0.0128300003707
1592037448629874320,550,1592037448528201103,,-0.00540000014007
1592037448682262836,551,1592037448629889965,,0.0107500003651
1592037448734711785,552,1592037448681762933,,0.0267299991101
1592037448786944639,553,1592037448734221935,,0.0276100002229
1592037448839896011,554,1592037448787008047,,0.0281300004572
1592037448891108174,555,1592037448839591979,,0.0214799996465
1592037448942596414,556,1592037448891211986,,0.00894999969751
1592037449047894889,557,1592037448942711114,,-0.00578999985009
1592037449097970087,558,1592037449045486927,,-0.0269099995494
1592037449150940267,559,1592037449097549915,,-0.046059999615
1592037449203130581,560,1592037449150260925,,-0.0716999992728
1592037449255577330,561,1592037449202778100,,-0.119740001857
1592037449308765319,562,1592037449255611896,,-0.119199998677
1592037449359697285,563,1592037449308228969,,-0.095119997859
1592037449412512320,564,1592037449359812974,,-0.0708800032735
1592037449467069310,565,1592037449412216901,,-0.0466299988329
1592037449568906983,566,1592037449466372966,,-0.0262499991804
1592037449621418782,567,1592037449568811893,,-0.010219999589
1592037449673924762,568,1592037449621126890,,0.0290099997073
1592037449775966493,569,1592037449673593044,,0.0515599995852
1592037449828567063,570,1592037449776067972,,0.0559299997985
1592037449881742149,571,1592037449828571081,,0.0704699978232
1592037449933488457,572,1592037449881923913,,0.0439100004733
1592037449985464985,573,1592037449933501958,,0.00208000000566
1592037450088922445,574,1592037449985477924,,-0.0397999994457
1592037450141189074,575,1592037450088341951,,-0.0653700008988
1592037450193427604,576,1592037450140995979,,-0.0781200006604
1592037450246236110,577,1592037450193516969,,-0.0811600014567
1592037450297827765,578,1592037450246006011,,-0.0873799994588
1592037450354128593,579,1592037450297610044,,-0.0775600001216
1592037450405422221,580,1592037450353295087,,-0.0372500009835
1592037450456671472,581,1592037450405081987,,-0.00416000001132
1592037450508632167,582,1592037450456641912,,0.0314900018275
1592037450560934247,583,1592037450508280992,,0.0631500035524
1592037450613908942,584,1592037450560584068,,0.0890299975872
1592037450666887570,585,1592037450614053964,,0.130490005016
1592037450718529455,586,1592037450666666030,,0.148190006614
1592037450769799624,587,1592037450718239068,,0.144270002842
1592037450821459495,588,1592037450769856929,,0.133239999413
1592037450872949517,589,1592037450821368932,,0.117229998112
1592037450924358708,590,1592037450872978925,,0.0773499980569
1592037450976766142,591,1592037450924391031,,0.0485300011933
1592037451030347704,592,1592037450976834058,,0.0165299996734
1592037451083812536,593,1592037451030550956,,-0.0103399995714
1592037451136444413,594,1592037451084001064,,-0.0311399996281
1592037451187999833,595,1592037451136523008,,-0.0671800002456
1592037451240613770,596,1592037451188071966,,-0.0999199971557
1592037451292336917,597,1592037451240643024,,-0.112559996545
1592037451343823931,598,1592037451292037963,,-0.107430003583
1592037451396909526,599,1592037451343569040,,-0.0959400013089
1592037451498164826,600,1592037451396286964,,-0.0785399973392
1592037451550115291,601,1592037451497879981,,-0.0476000010967
1592037451602806543,602,1592037451549657106,,-0.0263599995524
1592037451655380078,603,1592037451602493047,,-0.00401999987662
1592037451708013541,604,1592037451655131101,,0.0201399996877
1592037451759991307,605,1592037451707693099,,0.0418399982154
1592037451812354780,606,1592037451760062932,,0.0569900013506
1592037451865110754,607,1592037451812444925,,0.0620799995959
1592037451918517327,608,1592037451864928007,,0.0556799992919
1592037451971364347,609,1592037451918203115,,0.0368900001049
1592037452023976826,610,1592037451971564054,,0.00712999980897
1592037452075933569,611,1592037452024039030,,-0.0370600000024
1592037452132285882,612,1592037452075618982,,-0.0566600002348
1592037452189624748,613,1592037452132006883,,-0.0644000023603
1592037452241308569,614,1592037452189043998,,-0.0560000017285
1592037452293794922,615,1592037452241393089,,-0.0412199981511
1592037452346225522,616,1592037452293849945,,-0.0209800004959
1592037452398530285,617,1592037452346286058,,-0.000190000006114
1592037452451385443,618,1592037452398389101,,0.0101199997589
1592037452503539448,619,1592037452451087951,,0.0127600003034
1592037452555356756,620,1592037452503599882,,0.0142799997702
1592037452607796422,621,1592037452555505990,,0.0165599994361
1592037452659478880,622,1592037452607768058,,0.00168999994639
1592037452711355934,623,1592037452659545898,,-0.024639999494
1592037452762578908,624,1592037452711065053,,-0.0304600000381
1592037452814190052,625,1592037452762389898,,-0.0222699996084
1592037452916151489,626,1592037452814187049,,-0.0105699999258
1592037452968387499,627,1592037452916166067,,-0.00386000005528
1592037453020150117,628,1592037452968373060,,-0.00649000005797
1592037453073079898,629,1592037453020302057,,-0.00141000002623
1592037453125091969,630,1592037453072731971,,0.00930999964476
1592037453177568543,631,1592037453125153064,,0.0243999995291
1592037453230357133,632,1592037453177123069,,0.0342499986291
1592037453283445099,633,1592037453230551004,,0.0392300002277
1592037453336143092,634,1592037453283597946,,0.013969999738
1592037453388410609,635,1592037453335913896,,-0.0102899996564
1592037453440523025,636,1592037453388422012,,-0.0231599994004
1592037453493357260,637,1592037453440310955,,-0.0175500009209
1592037453545885109,638,1592037453493032932,,-0.0106699997559
1592037453598670148,639,1592037453545582056,,0.000190000006114
1592037453651492237,640,1592037453598311901,,0.017689999193
1592037453704015832,641,1592037453651643991,,0.039319999516
1592037453755657831,642,1592037453704077005,,0.0628099963069
1592037453807328104,643,1592037453755692005,,0.0839800015092
1592037453859039868,644,1592037453807110071,,0.0909200012684
1592037453911739724,645,1592037453858711004,,0.0797600001097
1592037453964172805,646,1592037453911263942,,0.0529799982905
1592037454016398180,647,1592037453963846921,,0.00992999970913
1592037454068967274,648,1592037454016450881,,-0.0187199991196
1592037454121721777,649,1592037454069042921,,-0.043940000236
1592037454224231711,650,1592037454121582984,,-0.0716599971056
1592037454276203668,651,1592037454223933935,,-0.0938299968839
1592037454327689027,652,1592037454275943994,,-0.114009998739
1592037454429607141,653,1592037454327717065,,-0.125520005822
1592037454480941059,654,1592037454429313898,,-0.113150000572
1592037454533052940,655,1592037454481012105,,-0.103650003672
1592037454585466292,656,1592037454532663106,,-0.0923700034618
1592037454638067430,657,1592037454585246086,,-0.080949999392
1592037454690867877,658,1592037454637873888,,-0.0675899982452
1592037454743271271,659,1592037454690568923,,-0.0550299994648
1592037454795830731,660,1592037454742975950,,-0.0418399982154
1592037454848509658,661,1592037454795909881,,-0.0290200002491
1592037454901671196,662,1592037454848591089,,-0.015890000388
1592037454952653650,663,1592037454901021957,,-0.00471000000834
1592037455004111094,664,1592037454952452898,,-0.000190000006114
1592037455055575302,665,1592037455003772020,,0.0
1592037455107710462,666,1592037455055428981,,0.0
1592037455159784150,667,1592037455107273101,,-0.000190000006114
1592037455212027963,668,1592037455159710884,,0.0
1592037455264402760,669,1592037455212117910,,-0.000190000006114
1592037455316738844,670,1592037455264461994,,-0.000190000006114
1592037455370136666,671,1592037455316981077,,-0.000190000006114
1592037455423572169,672,1592037455370217084,,0.0
1592037455476094571,673,1592037455423228025,,-0.000190000006114
1592037455529807942,674,1592037455475718975,,0.0
1592037455582693496,675,1592037455530232906,,-0.000190000006114
1592037455634838439,676,1592037455582730054,,-0.000190000006114
1592037455687061938,677,1592037455634507894,,0.0
1592037455739439102,678,1592037455687120914,,-0.000190000006114
1592037455792418380,679,1592037455739494085,,0.0
1592037455895166448,680,1592037455791944980,,0.0
1592037455948096578,681,1592037455895167112,,0.0
1592037455999926184,682,1592037455948014020,,-0.000169999999343
1592037456053752082,683,1592037456000017881,,0.0
1592037456106149031,684,1592037456053775072,,0.0
1592037456207964624,685,1592037456106192111,,0.0
1592037456260112306,686,1592037456207730054,,0.0
1592037456312175995,687,1592037456259740114,,0.0
1592037456415274814,688,1592037456312277078,,0.0
1592037456467212041,689,1592037456415400028,,0.0
1592037456518717088,690,1592037456466957092,,0.0
1592037456570586602,691,1592037456518799066,,0.0
1592037456622322566,692,1592037456570379972,,0.0
1592037456675013957,693,1592037456622419118,,0.0
1592037456727520392,694,1592037456675072908,,0.0
1592037456780227897,695,1592037456727638006,,0.0
1592037456832858281,696,1592037456780002117,,0.0
1592037456885660865,697,1592037456832532882,,0.0
1592037456937733352,698,1592037456885371923,,0.0
1592037456990512040,699,1592037456937776088,,0.0
1592037457043208913,700,1592037456990221023,,0.0
1592037457095861919,701,1592037457042931079,,0.0
1592037457150934014,702,1592037457095792055,,0.0
1592037457203310030,703,1592037457150707960,,0.0
1592037457256305257,704,1592037457203360080,,0.0
1592037457308271134,705,1592037457255717992,,0.0
1592037457361092589,706,1592037457308345079,,0.0
1592037457414086655,707,1592037457360855102,,0.0
1592037457466953060,708,1592037457413800954,,0.0
1592037457520118339,709,1592037457466551065,,0.0
1592037457573265642,710,1592037457519608020,,0.0
1592037457625086534,711,1592037457572772026,,0.0
1592037457677943155,712,1592037457625197887,,0.0
1592037457729348116,713,1592037457677227973,,0.0
1592037457781798928,714,1592037457729017019,,0.0
1592037457883556140,715,1592037457781440019,,0.0
1592037457936475523,716,1592037457883563995,,0.0
1592037457988450401,717,1592037457935997962,,0.0
1592037458041457712,718,1592037457988635063,,0.0
1592037458094480499,719,1592037458041130065,,0.0
1592037458146967888,720,1592037458094538927,,0.0
1592037458200544005,721,1592037458147037982,,0.0
1592037458253786131,722,1592037458200562953,,0.0
1592037458307233590,723,1592037458253994941,,0.0
1592037458359653604,724,1592037458307008028,,0.0
1592037458411402184,725,1592037458359453916,,0.0
1592037458464539800,726,1592037458411441087,,0.0
1592037458515696124,727,1592037458464076995,,0.0
1592037458569031293,728,1592037458515711069,,0.0
1592037458621639012,729,1592037458569238901,,0.0
1592037458724275151,730,1592037458621779918,,0.0
1592037458776644490,731,1592037458724349021,,0.0
1592037458829349704,732,1592037458776751041,,0.0
1592037458881879364,733,1592037458829500913,,0.0
1592037458935443285,734,1592037458882025957,,0.0
1592037458988420600,735,1592037458935182094,,0.0
1592037459040422494,736,1592037458987698078,,0.0
1592037459093018420,737,1592037459040163993,,0.0
1592037459145862561,738,1592037459092900991,,0.0
1592037459198500381,739,1592037459146028041,,0.0
1592037459250284870,740,1592037459198581933,,0.0
1592037459302975434,741,1592037459250327110,,0.0
1592037459355674225,742,1592037459302947998,,0.0
1592037459407918666,743,1592037459355190038,,0.0
1592037459459115317,744,1592037459407543897,,0.0
1592037459511609535,745,1592037459459202051,,0.0
1592037459563225835,746,1592037459511698007,,0.0
1592037459665566758,747,1592037459563244104,,0.0
1592037459717163309,748,1592037459665630102,,0.0
1592037459769213928,749,1592037459717165946,,0.0
1592037459823397102,750,1592037459769356012,,0.0
1592037459925864670,751,1592037459823157072,,0.0
1592037459978863867,752,1592037459925997972,,0.0
1592037460031324689,753,1592037459978543043,,0.0
1592037460083243565,754,1592037460031347036,,0.0
1592037460135757139,755,1592037460083321094,,0.0
1592037460189266719,756,1592037460135838985,,0.0
1592037460242339197,757,1592037460189506053,,0.0
1592037460295365554,758,1592037460242018938,,0.0
1592037460347146105,759,1592037460295044898,,0.0
1592037460400324660,760,1592037460346649885,,0.0
1592037460452306447,761,1592037460399760007,,0.0
1592037460504770035,762,1592037460452353000,,0.0
1592037460558161960,763,1592037460504792928,,0.0
1592037460610863467,764,1592037460557651996,,0.0
1592037460663937549,765,1592037460610855102,,0.0
1592037460715238690,766,1592037460663532018,,0.0
1592037460766560296,767,1592037460715004920,,0.0
1592037460818287500,768,1592037460766592025,,0.0
1592037460871289095,769,1592037460818377971,,0.0
1592037460922858941,770,1592037460870930910,,0.0
1592037460974970710,771,1592037460922528982,,0.0
1592037461031545623,772,1592037460975030899,,0.0
1592037461083872716,773,1592037461031236886,,0.0
1592037461136708043,774,1592037461083585023,,0.0
1592037461189257076,775,1592037461136246919,,0.0
1592037461241684787,776,1592037461189332008,,0.0
1592037461294855069,777,1592037461241744041,,0.0
1592037461346187655,778,1592037461294349908,,0.0
1592037461397977903,779,1592037461345906972,,0.0
1592037461451025222,780,1592037461397980928,,0.0
1592037461503264974,781,1592037461450364112,,0.0
1592037461557121359,782,1592037461502934932,,0.0
1592037461610459751,783,1592037461556802988,,0.0
1592037461662601909,784,1592037461610102891,,0.0
1592037461715577555,785,1592037461662797927,,0.0
1592037461767908275,786,1592037461715183973,,0.0
1592037461869719157,787,1592037461767581939,,0.000190000006114
1592037461922331598,788,1592037461869587898,,0.0
1592037461973642469,789,1592037461921984910,,0.0
1592037462025312795,790,1592037461973664999,,0.0
1592037462077537489,791,1592037462025319099,,0.0
1592037462130809781,792,1592037462077296972,,0.0
1592037462183709867,793,1592037462130894899,,0.0
1592037462235762318,794,1592037462183378934,,0.0
1592037462290168548,795,1592037462235826969,,0.0
1592037462341986730,796,1592037462290127038,,0.0
1592037462393741607,797,1592037462341654062,,-0.000169999999343
1592037462445326682,798,1592037462393366098,,0.0
1592037462497179293,799,1592037462445450067,,0.0
1592037462550252162,800,1592037462497200012,,0.0
1592037462652823679,801,1592037462550009965,,0.0
1592037462705353001,802,1592037462652484893,,0.0
1592037462757469226,803,1592037462705059051,,0.0
1592037462810756805,804,1592037462757544994,,0.0
1592037462863624777,805,1592037462810827970,,0.0
1592037462917023491,806,1592037462864021062,,0.0
