%time,field.header.seq,field.header.stamp,field.header.frame_id,field.X,field.Y,field.Z,field.A,field.B,field.C
1637084852247874005,170134,0,,23.8656997681,2.80669999123,2.1319000721,179.98399353,-0.570100009441,178.119903564
1637084852251969182,170135,0,,23.8721008301,2.89599990845,2.1291000843,179.984603882,-0.569800019264,178.119796753
1637084852256029770,170136,0,,23.8775997162,2.9865000248,2.12709999084,179.985198975,-0.56970000267,178.119796753
1637084852259998177,170137,0,,23.885099411,3.07690000534,2.12310004234,179.985702515,-0.569400012493,178.1197052
1637084852263943756,170138,0,,23.8943996429,3.16939997673,2.11640000343,179.986099243,-0.569000005722,178.119598389
1637084852268003475,170139,0,,23.9034996033,3.26510000229,2.11100006104,179.986495972,-0.568599998951,178.119506836
1637084852271948785,170140,0,,23.9118995667,3.36080002785,2.10750007629,179.986999512,-0.568400025368,178.119400024
1637084852275936876,170141,0,,23.9195995331,3.45689988136,2.10380005836,179.987503052,-0.56819999218,178.119400024
1637084852279935487,170142,0,,23.9269008636,3.55290007591,2.10139989853,179.988098145,-0.567900002003,178.119293213
1637084852283932817,170143,0,,23.932800293,3.64949989319,2.10030007362,179.988601685,-0.567799985409,178.119293213
1637084852287926791,170144,0,,23.9382991791,3.74580001831,2.10010004044,179.98890686,-0.567700028419,178.119293213
1637084852291909259,170145,0,,23.9424991608,3.84500002861,2.10019993782,179.989105225,-0.567700028419,178.11920166
1637084852295895207,170146,0,,23.9472007751,3.94639992714,2.09949994087,179.988998413,-0.567499995232,178.11920166
1637084852299876710,170147,0,,23.9510993958,4.04780006409,2.09910011292,179.98890686,-0.567499995232,178.11920166
1637084852303921288,170148,0,,23.9550991058,4.14849996567,2.09850001335,179.988800049,-0.567399978638,178.11920166
1637084852307917908,170149,0,,23.9580001831,4.24889993668,2.09969997406,179.988601685,-0.567399978638,178.11920166
1637084852311866959,170150,0,,23.9603996277,4.34969997406,2.10159993172,179.988494873,-0.567399978638,178.11920166
1637084852315979146,170151,0,,23.9619998932,4.44999980927,2.1047000885,179.98840332,-0.567600011826,178.11920166
1637084852319865916,170152,0,,23.9638004303,4.55259990692,2.10680007935,179.988204956,-0.567700028419,178.119293213
1637084852323912222,170153,0,,23.9654998779,4.6563000679,2.10829997063,179.988098145,-0.567700028419,178.119293213
1637084852327965619,170154,0,,23.967300415,4.7593998909,2.10899996758,179.988006592,-0.567799985409,178.119293213
1637084852331959299,170155,0,,23.9689006805,4.86000013351,2.10960006714,179.988098145,-0.567900002003,178.119400024
1637084852335962266,170156,0,,23.9715995789,4.96120023727,2.10920000076,179.988296509,-0.567900002003,178.119293213
1637084852339938370,170157,0,,23.9731006622,5.06139993668,2.11089992523,179.98840332,-0.567900002003,178.119400024
1637084852343897094,170158,0,,23.9754009247,5.16149997711,2.11199998856,179.988601685,-0.568000018597,178.119400024
1637084852347914154,170159,0,,23.9762992859,5.26109981537,2.11490011215,179.98890686,-0.56819999218,178.119400024
1637084852352061180,170160,0,,23.978099823,5.35970020294,2.117000103,179.989196777,-0.568300008774,178.119506836
1637084852355979537,170161,0,,23.9804992676,5.45650005341,2.11840009689,179.989593506,-0.568300008774,178.119506836
1637084852359740025,170162,0,,23.9836006165,5.5529999733,2.11730003357,179.990203857,-0.568300008774,178.119506836
1637084852363788154,170163,0,,23.9862003326,5.65019989014,2.11579990387,179.990707397,-0.568300008774,178.119506836
1637084852367742553,170164,0,,23.9899997711,5.75,2.11199998856,179.991104126,-0.568099975586,178.119400024
