%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pixels
1637084764328175919,1576,0,,1653
1637084764452022354,1577,0,,1683
1637084764537624476,1578,0,,1713
1637084764680832994,1579,0,,1727
1637084764782698454,1580,0,,1696
1637084764883751365,1581,0,,1736
1637084764963133126,1582,0,,1817
1637084765053844255,1583,0,,1888
1637084765148343780,1584,0,,1928
1637084765247339846,1585,0,,1943
1637084765332157601,1586,0,,1984
1637084765418614782,1587,0,,1976
1637084765544226400,1588,0,,2037
1637084765638149546,1589,0,,2000
1637084765743514421,1590,0,,1979
1637084765846718308,1591,0,,2016
1637084765940314132,1592,0,,2067
1637084766053836488,1593,0,,2116
1637084766147677834,1594,0,,2121
1637084766243200214,1595,0,,2101
1637084766351217428,1596,0,,2074
1637084766447539693,1597,0,,2113
1637084766543729730,1598,0,,2139
1637084766638417364,1599,0,,2189
1637084766715550324,1600,0,,2217
1637084766813307481,1601,0,,2267
1637084766910479196,1602,0,,2307
1637084767016878900,1603,0,,2336
1637084767131333602,1604,0,,2374
1637084767213120134,1605,0,,2390
1637084767360494959,1606,0,,2371
1637084767474783158,1607,0,,2316
1637084767618232959,1608,0,,2278
1637084767733607676,1609,0,,2274
1637084767819504827,1610,0,,2242
1637084767963218574,1611,0,,2226
1637084768077481836,1612,0,,2192
1637084768185314421,1613,0,,2137
1637084768297906018,1614,0,,2092
1637084768395695839,1615,0,,2040
1637084768494488593,1616,0,,2011
1637084768569109014,1617,0,,2017
1637084768681436354,1618,0,,2005
1637084768776005358,1619,0,,1982
1637084768910253671,1620,0,,1962
1637084769010191535,1621,0,,1952
1637084769101740119,1622,0,,1934
1637084769231388492,1623,0,,1898
1637084769307864532,1624,0,,1864
1637084769443047709,1625,0,,1794
1637084769586317714,1626,0,,1683
1637084769709366811,1627,0,,1579
1637084769829327421,1628,0,,1486
1637084769924426669,1629,0,,1418
1637084770025175583,1630,0,,1324
1637084770133642553,1631,0,,1258
1637084770290379902,1632,0,,1238
1637084770379643198,1633,0,,1232
1637084770476592034,1634,0,,1199
1637084770599520678,1635,0,,1185
1637084770805059290,1636,0,,1165
1637084770894194550,1637,0,,1208
1637084771017774087,1638,0,,1232
1637084771159003358,1639,0,,1217
1637084771221506453,1640,0,,1209
1637084771328763899,1641,0,,1222
1637084771423102877,1642,0,,1226
1637084771559354949,1643,0,,1267
1637084771649475440,1644,0,,1315
1637084771765078601,1645,0,,1397
1637084771862250195,1646,0,,1480
1637084771961899833,1647,0,,1520
1637084772071488487,1648,0,,1588
1637084772183072194,1649,0,,1737
1637084772343264447,1650,0,,1941
1637084772465910350,1651,0,,2010
1637084772562914669,1652,0,,2033
1637084772609503147,1653,0,,2050
1637084772725504144,1654,0,,2100
1637084772847370773,1655,0,,2132
1637084772946106590,1656,0,,2154
1637084773054694360,1657,0,,2153
1637084773208260283,1658,0,,2106
1637084773333257459,1659,0,,2086
1637084773480446257,1660,0,,2031
1637084773576233760,1661,0,,1987
1637084773736459071,1662,0,,1952
1637084773808690018,1663,0,,1952
1637084773868651659,1664,0,,1952
1637084773929863841,1665,0,,1952
1637084773998829825,1666,0,,1952
1637084774063441054,1667,0,,1952
1637084774115517197,1668,0,,1952
1637084774211642184,1669,0,,1951
1637084774314454087,1670,0,,1955
1637084774430330826,1671,0,,1967
1637084774526363524,1672,0,,1920
1637084774640655123,1673,0,,1842
1637084774723351779,1674,0,,1810
1637084774807284255,1675,0,,1765
1637084774886487356,1676,0,,1753
1637084775005737096,1677,0,,1768
1637084775089426650,1678,0,,1752
1637084775219025079,1679,0,,1735
1637084775319871764,1680,0,,1751
1637084775413272148,1681,0,,1754
1637084775515630867,1682,0,,1773
1637084775638320405,1683,0,,1720
1637084775730749251,1684,0,,1703
1637084775859590076,1685,0,,1630
1637084775958577034,1686,0,,1571
1637084776141395517,1687,0,,1443
1637084776240927016,1688,0,,1405
1637084776326781209,1689,0,,1357
1637084776423201677,1690,0,,1320
1637084776531741257,1691,0,,1262
1637084776619291751,1692,0,,1201
1637084776715085224,1693,0,,1145
1637084776791371933,1694,0,,1083
1637084776886763851,1695,0,,1044
1637084777018894113,1696,0,,984
1637084777174741567,1697,0,,947
1637084777296109841,1698,0,,964
1637084777440697013,1699,0,,1006
1637084777535826494,1700,0,,965
1637084777626064512,1701,0,,961
1637084777723503253,1702,0,,963
1637084777837155206,1703,0,,962
1637084777943394763,1704,0,,183
1637084778087981780,1705,0,,218
1637084778190815753,1706,0,,279
1637084778290797631,1707,0,,334
1637084778387275863,1708,0,,405
1637084778476242768,1709,0,,473
1637084778583547604,1710,0,,548
1637084778738553354,1711,0,,637
1637084778845584111,1712,0,,672
1637084778950549829,1713,0,,699
1637084779035060644,1714,0,,712
1637084779129779227,1715,0,,719
1637084779273641744,1716,0,,696
1637084779358317827,1717,0,,664
1637084779465375347,1718,0,,617
1637084779593526472,1719,0,,534
1637084779699288474,1720,0,,491
1637084779810509871,1721,0,,427
1637084779946352822,1722,0,,359
1637084780048408599,1723,0,,274
1637084780147690111,1724,0,,206
1637084780235315379,1725,0,,179
1637084780346975912,1726,0,,186
1637084780451053682,1727,0,,198
1637084780543298227,1728,0,,194
1637084780655913715,1729,0,,181
1637084780741852482,1730,0,,192
1637084780838694519,1731,0,,173
1637084780967873790,1732,0,,107
1637084781057047223,1733,0,,57
1637084781165613742,1734,0,,18
1637084781293091967,1735,0,,17
1637084781394523205,1736,0,,40
1637084781497296823,1737,0,,56
1637084781632025921,1738,0,,63
1637084781739947448,1739,0,,66
1637084781877302328,1740,0,,29
1637084781997312466,1741,0,,29
1637084782100113850,1742,0,,44
1637084782203788558,1743,0,,78
1637084782327760898,1744,0,,110
1637084782444913164,1745,0,,151
1637084782529655109,1746,0,,151
1637084782651007539,1747,0,,139
1637084782763393095,1748,0,,117
1637084782851650280,1749,0,,121
1637084782973927123,1750,0,,116
1637084783088977961,1751,0,,109
1637084783218378424,1752,0,,126
1637084783345691120,1753,0,,133
1637084783444828244,1754,0,,129
1637084783548441540,1755,0,,122
1637084783636607224,1756,0,,139
1637084783791576238,1757,0,,167
1637084783941268035,1758,0,,203
1637084784045045874,1759,0,,215
1637084784171639240,1760,0,,212
1637084784311215057,1761,0,,205
1637084784402264218,1762,0,,211
1637084784501613413,1763,0,,203
1637084784607833898,1764,0,,192
1637084784715080384,1765,0,,191
1637084784812049397,1766,0,,199
1637084784917878274,1767,0,,203
1637084785026986749,1768,0,,201
1637084785126478914,1769,0,,216
1637084785226925735,1770,0,,225
1637084785328746899,1771,0,,248
1637084785431195059,1772,0,,273
1637084785551798206,1773,0,,286
1637084785703300660,1774,0,,292
1637084785803821968,1775,0,,293
1637084785926856532,1776,0,,295
1637084786018423444,1777,0,,446
1637084786183671052,1778,0,,426
1637084786275528117,1779,0,,426
1637084786457739991,1780,0,,419
1637084786557577930,1781,0,,412
1637084786695931748,1782,0,,433
1637084786775702614,1783,0,,441
1637084786906679922,1784,0,,460
1637084787017324794,1785,0,,484
1637084787112490421,1786,0,,496
1637084787201535192,1787,0,,500
1637084787329597727,1788,0,,497
1637084787437465593,1789,0,,494
