%time,field.header.seq,field.header.stamp,field.header.frame_id,time,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1.58253878037425E+018,2915,1.58253878032239E+018,,86.640941824,188.659454346,163.842666626,-0.070841550827,403.412658691,247.757110596
1.58253878042262E+018,2916,1.58253878036846E+018,,86.687019776,185.21270752,165.073501587,-0.233885869384,403.948150635,247.404953003
1.58253878045969E+018,2917,1.58253878040281E+018,,86.721370368,203.574829102,163.410995483,-0.113615512848,410.998199463,246.93397522
1.58253878048641E+018,2918,1.58253878043149E+018,,86.750044672,205.581741333,169.990264893,0.132367089391,414.103240967,250.11026001
1.58253878051839E+018,2919,1.58253878045498E+018,,86.773536512,207.035446167,176.806747437,0.190359294415,414.126953125,251.090042114
1.58253878054846E+018,2920,1.5825387805042E+018,,86.822755072,210.315582275,178.060058594,0.0730828642845,415.550537109,250.013916016
1.58253878059177E+018,2921,1.58253878052402E+018,,86.842577152,190.004180908,163.388290405,-0.351133406162,403.276550293,247.406860352
1.58253878062983E+018,2922,1.58253878055555E+018,,86.87410176,191.631881714,167.111679077,-0.257056564093,405.05847168,245.795257568
1.58253878065952E+018,2923,1.58253878058857E+018,,86.907127296,190.685592651,162.854980469,-0.165988966823,403.940582275,247.486587524
1.58253878068627E+018,2924,1.58253878062264E+018,,86.941192192,199.168334961,164.41835022,0.0503931343555,400.745422363,244.250152588
1.58253878070766E+018,2925,1.58253878067097E+018,,86.989526272,186.047805786,161.897796631,-0.315508961678,403.232147217,247.368621826
1.58253878073715E+018,2926,1.58253878068955E+018,,87.008109824,187.035583496,164.921463013,-0.339767545462,403.638366699,247.548934937
1.58253878076958E+018,2927,1.58253878072495E+018,,87.043501824,223.654190063,200.128250122,0.950319230556,411.278381348,258.352050781
1.58253878078699E+018,2928,1.58253878075585E+018,,87.0744064,202.544464111,167.12020874,0.147592127323,398.498657227,244.234970093
1.58253878083274E+018,2929,1.58253878079818E+018,,87.116739072,199.102203369,162.537857056,0.308201640844,395.842956543,243.376373291
1.58253878086599E+018,2930,1.58253878082792E+018,,87.146473216,192.505859375,167.827606201,0.252259403467,401.604614258,244.509277344
1.58253878089973E+018,2931,1.58253878085738E+018,,87.175935744,189.592056274,170.549057007,0.200165316463,399.88168335,244.101745605
1.58253878093284E+018,2932,1.58253878088809E+018,,87.206647296,190.597564697,170.913497925,0.185699820518,399.695007324,243.614852905
1.58253878096148E+018,2933,1.58253878092646E+018,,87.245012224,185.352798462,166.554779053,-0.53059566021,403.546966553,242.220901489
1.58253878100238E+018,2934,1.58253878096816E+018,,87.286718976,183.702346802,167.498641968,-0.583192646503,404.761230469,241.195007324
1.58253878102726E+018,2935,1.58253878099671E+018,,87.315268864,180.384033203,168.797271729,-0.547103106976,403.375732422,243.490493774
1.58253878105314E+018,2936,1.58253878101981E+018,,87.338363648,222.02935791,173.917251587,0.2055965662,409.163848877,247.072906494
1.58253878107465E+018,2937,1.5825387810573E+018,,87.375858432,185.201339722,163.434036255,-0.437259227037,400.777160645,245.099975586
1.58253878110705E+018,2938,1.58253878108944E+018,,87.407999232,196.220001221,162.465011597,-0.0195951405913,399.465332031,245.44480896
1.58253878114646E+018,2939,1.58253878111734E+018,,87.43589888,49.5944900513,18.6966304779,-0.95031106472,471.592590332,276.192230225
1.58253878117905E+018,2940,1.58253878115569E+018,,87.474244096,122.989837646,74.528137207,-0.310197800398,443.239868164,279.383209229
1.58253878120354E+018,2941,1.58253878118611E+018,,87.504666368,117.588867188,104.178276062,-0.977462053299,452.435455322,263.650115967
1.58253878124024E+018,2942,1.58253878122093E+018,,87.539488512,91.6241760254,73.9574966431,-0.948768734932,464.389678955,273.137298584
1.58253878129799E+018,2943,1.58253878126774E+018,,87.58629888,77.2842788696,59.7320213318,-0.892917275429,468.815948486,279.473388672
1.58253878132679E+018,2944,1.58253878129337E+018,,87.61193088,30.8454322815,20.0755367279,-1.04285526276,481.081970215,295.793121338
1.58253878134982E+018,2945,1.58253878133046E+018,,87.649014528,0,0,0,0,0
1.58253878139394E+018,2946,1.58253878136371E+018,,87.682261248,0,0,0,0,0
1.58253878143585E+018,2947,1.58253878140529E+018,,87.72384896,259.577301025,259.543914795,0.247814193368,390.004364014,259.998565674
1.58253878147445E+018,2948,1.58253878144081E+018,,87.759367424,173.949661255,168.323928833,1.35797321796,388.453277588,259.976501465
1.58253878151372E+018,2949,1.58253878147356E+018,,87.79212032,171.73840332,169.927886963,1.36642432213,388.172363281,259.610961914
1.58253878154004E+018,2950,1.58253878150515E+018,,87.82370304,182.161376953,167.75050354,-0.267367511988,384.300933838,260.22076416
1.58253878157339E+018,2951,1.58253878154308E+018,,87.861636864,184.837341309,175.037094116,-0.139361351728,383.278076172,261.212127686
1.58253878161623E+018,2952,1.58253878156878E+018,,87.887334144,192.035705566,179.416290283,-0.378835737705,380.583709717,261.905059814
1.58253878163442E+018,2953,1.58253878160128E+018,,87.91983616,185.023483276,171.0418396,-0.246247857809,385.108337402,258.667205811
1.58253878166116E+018,2954,1.58253878163067E+018,,87.94922368,185.6456604,170.86630249,1.19684803486,382.731781006,258.744750977
1.58253878169762E+018,2955,1.58253878165656E+018,,87.97511936,184.889877319,174.93977356,-1.39420378208,379.154296875,260.667633057
1.58253878172594E+018,2956,1.58253878168488E+018,,88.00343424,177.555084229,174.891220093,-0.155083730817,374.636322021,260.854309082
1.58253878175649E+018,2957,1.58253878172204E+018,,88.040593664,173.827362061,156.372146606,0.339069545269,376.823730469,252.879135132
1.58253878179031E+018,2958,1.58253878175471E+018,,88.073270272,168.81993103,145.720352173,0.196853548288,381.33694458,256.37322998
1.58253878181423E+018,2959,1.58253878178688E+018,,88.105437696,189.905334473,160.052383423,0.304858028889,376.725372314,257.414245605
1.58253878187232E+018,2960,1.58253878183615E+018,,88.154710784,202.906890869,167.517333984,0.272207140923,370.905639648,256.432556152
1.58253878190081E+018,2961,1.58253878185364E+018,,88.172199168,203.558624268,170.244049072,0.275638759136,369.479736328,255.536941528
1.58253878192786E+018,2962,1.58253878188608E+018,,88.204635136,203.562744141,170.314453125,0.436985045671,370.023986816,256.642059326
1.58253878195295E+018,2963,1.58253878192175E+018,,88.24030208,200.616607666,162.580871582,0.542306005955,373.290618896,253.724411011
1.58253878198254E+018,2964,1.58253878195374E+018,,88.272298752,199.332778931,169.966995239,0.664540171623,370.988586426,253.826019287
1.58253878201955E+018,2965,1.58253878198602E+018,,88.304580352,193.095657349,166.785400391,0.510936498642,374.611083984,253.177276611
1.58253878204398E+018,2966,1.58253878202406E+018,,88.342612992,200.32258606,171.267547607,0.334662675858,370.178497314,251.346832275
1.58253878207277E+018,2967,1.58253878205362E+018,,88.37217408,198.720718384,171.871368408,0.32015016675,369.162902832,250.975753784
1.58253878211018E+018,2968,1.58253878208663E+018,,88.40518656,195.176498413,172.173065186,0.422769904137,369.250183105,249.635726929
1.58253878215168E+018,2969,1.58253878212116E+018,,88.439720704,193.752212524,167.797866821,0.478579372168,370.256561279,246.356750488
1.58253878217087E+018,2970,1.58253878215395E+018,,88.47250176,193.433685303,171.267944336,0.44733941555,369.12677002,246.413345337
1.58253878220914E+018,2971,1.58253878218774E+018,,88.506301184,201.209625244,167.743377686,0.185707688332,364.905639648,246.165725708
1.58253878224902E+018,2972,1.58253878222664E+018,,88.545197824,199.472671509,164.669815063,0.22234518826,367.531799316,246.426269531
1.58253878227896E+018,2973,1.58253878226097E+018,,88.57952512,195.275619507,162.936965942,0.292125463486,370.170806885,246.040298462
1.58253878231728E+018,2974,1.58253878229055E+018,,88.60910976,198.308700562,166.995483398,0.304378926754,368.352874756,245.901428223
1.58253878236356E+018,2975,1.58253878233677E+018,,88.655323904,202.180465698,164.076324463,0.396913796663,369.031860352,246.150588989
1.58253878238137E+018,2976,1.58253878235592E+018,,88.674481408,204.912872314,165.812805176,0.283026516438,367.204742432,247.227142334
1.58253878241546E+018,2977,1.5825387823848E+018,,88.703354624,202.050323486,162.995880127,0.346162348986,368.567352295,245.728408813
1.58253878244266E+018,2978,1.5825387824213E+018,,88.739860736,201.704483032,164.661437988,0.27917650342,366.330322266,245.901031494
1.58253878248093E+018,2979,1.58253878245282E+018,,88.771374848,199.457519531,167.998199463,0.393481105566,367.753601074,244.789916992
1.5825387825204E+018,2980,1.58253878249435E+018,,88.812909056,199.343307495,169.555603027,0.166457816958,364.002990723,245.512298584
1.58253878255343E+018,2981,1.58253878252886E+018,,88.847412992,195.02583313,164.43145752,0.364651203156,366.955810547,242.61026001
1.58253878259227E+018,2982,1.58253878256979E+018,,88.888348928,194.599349976,165.464141846,0.369811356068,366.252227783,243.08833313
1.5825387826101E+018,2983,1.58253878259226E+018,,88.910814464,202.601974487,165.668228149,0.0961076244712,362.966827393,245.065155029
1.58253878264156E+018,2984,1.58253878262399E+018,,88.942543872,197.870269775,167.535324097,0.233491316438,365.152740479,244.755462646
1.58253878267733E+018,2985,1.58253878265519E+018,,88.973743616,196.199996948,167.107254028,0.375798940659,366.626983643,244.682189941
1.58253878272758E+018,2986,1.58253878269197E+018,,89.010529792,193.525161743,167.624633789,0.434071689844,367.773864746,243.799942017
1.5825387827626E+018,2987,1.58253878272281E+018,,89.041364736,196.927978516,164.913223267,0.312964558601,367.432525635,244.062225342
1.58253878279289E+018,2988,1.5825387827547E+018,,89.073259264,201.573425293,164.734863281,0.271862953901,366.247711182,243.884796143
1.58253878283036E+018,2989,1.58253878279118E+018,,89.109738752,195.301116943,167.805236816,0.487655282021,368.686950684,244.097839355
1.58253878285067E+018,2990,1.58253878282405E+018,,89.142602496,195.935241699,165.300079346,0.278804332018,366.381408691,243.459472656
1.58253878289122E+018,2991,1.58253878285368E+018,,89.172235008,191.043762207,168.244293213,0.269626826048,367.035125732,244.344284058
1.58253878292354E+018,2992,1.58253878289043E+018,,89.2089856,196.709671021,164.553421021,0.256658941507,365.871429443,244.196899414
1.5825387829554E+018,2993,1.58253878292288E+018,,89.241439232,201.670303345,166.14956665,0.221779003739,365.333221436,246.490997314
1.58253878299129E+018,2994,1.58253878295476E+018,,89.273319168,196.265701294,165.228286743,0.256341099739,366.722198486,244.393234253
1.58253878302306E+018,2995,1.58253878299353E+018,,89.312089344,191.915145874,164.827911377,0.445283323526,368.253936768,241.947616577
1.58253878305572E+018,2996,1.58253878302219E+018,,89.34074624,195.217880249,165.634918213,0.299876213074,366.274932861,244.77243042
1.58253878309794E+018,2997,1.58253878305745E+018,,89.376002304,193.072799683,167.223297119,0.274686425924,367.235076904,245.368667603
1.5825387831262E+018,2998,1.58253878309145E+018,,89.4100096,205.16015625,168.107650757,0.307017207146,364.941894531,246.786499023
1.58253878316297E+018,2999,1.58253878312181E+018,,89.440362496,199.967910767,160.703826904,0.317213922739,367.190765381,245.833175659
1.58253878319518E+018,3000,1.58253878316132E+018,,89.479876352,200.930618286,162.260253906,0.272476673126,365.809082031,246.522125244
1.58253878323761E+018,3001,1.58253878319411E+018,,89.512662272,199.111312866,166.212677002,0.421444296837,367.737182617,245.991943359
1.58253878329725E+018,3002,1.58253878324118E+018,,89.559738624,204.048782349,164.490280151,0.15568600595,363.14276123,245.012863159
1.58253878331305E+018,3003,1.58253878327131E+018,,89.589869056,200.576431274,166.085891724,0.327474266291,367.062561035,244.670608521
1.58253878332934E+018,3004,1.58253878329029E+018,,89.608843776,200.967636108,164.552688599,0.223490342498,367.27243042,243.831237793
1.58253878339684E+018,3005,1.58253878332177E+018,,89.640327424,192.314102173,164.792907715,0.189338639379,373.947601318,244.775466919
1.58253878342338E+018,3006,1.58253878335341E+018,,89.6719616,192.143035889,167.741485596,0.138450294733,372.383209229,245.20892334
1.58253878346341E+018,3007,1.5825387833955E+018,,89.7140544,186.643081665,170.387496948,0.103771135211,369.977874756,246.553787231
1.58253878348773E+018,3008,1.58253878345992E+018,,89.778475264,178.772506714,167.89515686,-0.122195549309,371.786499023,245.269683838
1.58253878351647E+018,3009,1.5825387834904E+018,,89.808958208,187.67980957,168.363357544,0.309457063675,368.145019531,242.845153809
1.58253878356651E+018,3010,1.58253878351908E+018,,89.837639936,196.693634033,169.43157959,0.468555629253,366.932067871,241.643081665
1.58253878360773E+018,3011,1.58253878354031E+018,,89.858868736,196.882263184,169.126464844,0.473184734583,365.939147949,242.236587524
1.58253878362642E+018,3012,1.58253878357422E+018,,89.89277184,197.536224365,165.90725708,0.510036110878,366.887786865,242.553131104
1.58253878365506E+018,3013,1.58253878360529E+018,,89.923845376,199.788070679,164.742889404,0.425637602806,365.968200684,243.050979614
1.58253878368692E+018,3014,1.58253878363827E+018,,89.956829952,204.234970093,162.811935425,0.446017563343,366.898223877,244.909927368
1.58253878371183E+018,3015,1.58253878367588E+018,,89.99444096,202.449295044,161.787384033,0.406222224236,367.037994385,244.766708374
1.58253878374173E+018,3016,1.5825387837096E+018,,90.028157952,200.211456299,159.944595337,0.336399048567,367.850494385,244.997970581
1.58253878376029E+018,3017,1.58253878373979E+018,,90.058346752,202.472579956,162.412902832,0.320987075567,367.607849121,246.114990234
1.58253878379616E+018,3018,1.58253878377184E+018,,90.090392832,200.995895386,161.135986328,0.261009901762,368.075653076,245.44090271
1.58253878384406E+018,3019,1.58253878381087E+018,,90.129425152,198.54335022,158.301834106,0.246104717255,369.831573486,242.8074646
1.58253878387441E+018,3020,1.58253878384424E+018,,90.162793216,195.039031982,162.291931152,-0.0645177438855,370.586151123,245.6980896
1.58253878389426E+018,3021,1.5825387838699E+018,,90.188451584,201.164505005,168.706390381,-0.0229916032404,367.667053223,244.849807739
1.5825387839475E+018,3022,1.58253878391017E+018,,90.2287296,190.465103149,172.391906738,-0.111120931804,368.494689941,242.644302368
1.58253878397884E+018,3023,1.58253878394527E+018,,90.263831296,175.861206055,165.130661011,-1.4707211256,376.763000488,241.752746582
1.58253878401037E+018,3024,1.58253878397463E+018,,90.293187328,177.943634033,165.968551636,0.561401307583,373.348144531,241.31463623
1.58253878402973E+018,3025,1.58253878400369E+018,,90.322242304,167.464874268,162.886932373,0.646392583847,377.301208496,246.414245605
1.58253878406454E+018,3026,1.58253878403768E+018,,90.35623936,192.269210815,165.377990723,0.425175517797,368.157897949,242.888473511
1.58253878409718E+018,3027,1.58253878407016E+018,,90.3887168,197.580154419,165.490829468,0.515138328075,367.885467529,243.342651367
1.58253878412773E+018,3028,1.58253878410203E+018,,90.4205888,199.422729492,169.663482666,0.338751971722,365.390899658,245.152770996
1.58253878416087E+018,3029,1.5825387841365E+018,,90.45506048,205.439437866,163.927352905,0.604598045349,369.804626465,245.775024414
1.58253878420719E+018,3030,1.58253878416998E+018,,90.488540416,203.218994141,167.989135742,0.572678685188,369.838867188,246.540481567
1.58253878423751E+018,3031,1.58253878420211E+018,,90.520664576,200.16708374,170.498428345,0.529213368893,370.0234375,247.594573975
1.58253878429074E+018,3032,1.5825387842368E+018,,90.555354368,196.186721802,167.240097046,0.744587361813,371.274017334,247.454071045
