%time,field.header.stamp,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1.63093912882927E+018,1.6309391288132E+018,57.9334640503,50.7638206482,0.799934506416,395.989959717,241.684951782,67.0062332153
1.63093912887459E+018,1.63093912885014E+018,58.8835487366,54.1398925781,0.216693565249,392.771911621,237.100082397,66.7840957642
1.63093912889722E+018,1.63093912887932E+018,58.9548149109,50.0922813416,0.499385178089,397.686401367,238.73210144,66.5692443848
1.63093912893109E+018,1.63093912891701E+018,80.5307235718,62.2961349487,1.06538140774,402.297302246,252.116882324,66.2012329102
1.63093912896439E+018,1.63093912894942E+018,53.5447273254,41.8103103638,0.740735113621,399.243865967,244.043807983,66.2012329102
1.63093912900021E+018,1.63093912898517E+018,78.5601882935,45.1822853088,0.770646095276,404.513305664,248.289672852,66.2012329102
1.63093912904201E+018,1.63093912901749E+018,64.0673065186,43.6229858398,0.68525904417,401.307403564,245.25642395,66.2012329102
1.63093912906404E+018,1.63093912904277E+018,0,0,0,0,0,66.2012329102
1.63093912909461E+018,1.63093912907872E+018,140.230987549,117.316589355,0.718145608902,406.742980957,234.01953125,69.217414856
1.63093912912512E+018,1.63093912911086E+018,96.5651168823,54.5142669678,-1.55883800983,398.468994141,262.072784424,69.0751266479
1.63093912916156E+018,1.63093912914664E+018,84.3579177856,56.2535705566,1.4532558918,400.394897461,257.317810059,69.0918960571
1.63093912919461E+018,1.63093912917886E+018,101.374702454,64.9951095581,-0.828001141548,394.18270874,255.835479736,69.626739502
1.63093912922678E+018,1.63093912921079E+018,105.276939392,62.359539032,0.189716532826,404.633483887,247.595108032,62.443195343
1.63093912926882E+018,1.63093912925421E+018,99.6398849487,71.045501709,0.0478745810688,405.670410156,246.473754883,62.7991294861
1.63093912930238E+018,1.63093912928654E+018,89.8360214233,55.8790588379,-0.113506987691,396.018981934,245.727966309,62.6261825562
1.63093912933349E+018,1.63093912931106E+018,69.0031814575,60.2340164185,-0.453970372677,401.861053467,248.668838501,61.9699134827
1.63093912937238E+018,1.63093912935412E+018,68.6190261841,58.9420051575,0.24426779151,402.61138916,237.971511841,61.2290420532
1.63093912939803E+018,1.63093912937965E+018,77.7359771729,57.6893806458,-0.117231152952,394.705780029,244.832611084,61.1858673096
1.63093912943607E+018,1.63093912941829E+018,61.9375724792,57.1347160339,-0.167281404138,398.098022461,243.792602539,61.2633323669
1.6309391294616E+018,1.63093912944643E+018,77.3565292358,61.8817481995,-0.209305554628,395.611694336,241.030914307,61.1387023926
1.63093912949519E+018,1.63093912947871E+018,80.5365142822,50.2230377197,-0.0218404512852,392.309539795,242.756256104,60.7818717957
1.6309391295271E+018,1.63093912951093E+018,85.7530441284,65.2210235596,0.032430510968,399.001312256,238.236816406,60.8587722778
