%time,field.header.stamp,field.speed,field.vx,field.vy,field.vz
1.63093916393146E+018,1.63093916387939E+018,0.01070000045,-0.00044999999227,-0.01070000045,-5.00E-05
1.6309391639878E+018,1.63093916393158E+018,0.0111999996006,-0.000230000005104,-0.0111800003797,-8.00E-05
1.63093916403976E+018,1.63093916398751E+018,0.0105999996886,-0.000579999992624,-0.0105600003153,8.00E-05
1.63093916409221E+018,1.63093916403995E+018,0.0110999997705,-0.000140000003739,-0.0111300004646,-6.00E-05
1.63093916414496E+018,1.63093916409235E+018,0.0108000002801,-0.000159999995958,-0.0108300000429,-6.00E-05
1.63093916419622E+018,1.63093916414465E+018,0.00760000012815,-0.000269999989541,-0.00760000012815,-2.00E-05
1.63093916424791E+018,1.63093916419607E+018,0.00310000008903,0.000300000014249,-0.00313000008464,-0.000140000003739
1.63093916430026E+018,1.63093916424805E+018,0.00209999992512,-0.00044999999227,0.00205000001006,-0.000110000000859
1.63093916435364E+018,1.63093916430044E+018,0.00930000003427,-0.000250000011874,0.0092399995774,-0.000339999998687
1.63093916440546E+018,1.63093916435295E+018,0.0114000001922,0.000969999993686,0.0113800000399,-0.000410000007832
1.63093916450769E+018,1.63093916440542E+018,0.0129000004381,0.000429999985499,0.0129000004381,-0.000199999994948
1.63093916456036E+018,1.63093916450786E+018,0.0108000002801,0.00106000003871,0.010719999671,2.00E-05
1.63093916461318E+018,1.63093916456058E+018,0.0118000004441,0.000130000000354,0.0118000004441,4.00E-05
1.63093916466599E+018,1.63093916461332E+018,0.0105999996886,4.00E-05,0.0106300003827,0.000169999999343
1.63093916471891E+018,1.63093916466569E+018,0.0113000003621,0.000269999989541,0.0113199995831,0.000630000024103
1.63093916477065E+018,1.63093916471823E+018,0.0110999997705,0.000159999995958,0.0111100003123,0.000199999994948
1.63093916482397E+018,1.63093916477073E+018,0.0109999999404,6.00E-05,0.0109700001776,3.00E-05
1.63093916487531E+018,1.6309391648239E+018,0.0113000003621,0.000269999989541,0.0113199995831,0.000169999999343
1.63093916492798E+018,1.6309391648755E+018,0.01070000045,0.000419999996666,0.0106499996036,0
1.63093916503128E+018,1.630939164928E+018,0.0111999996006,0.000479999987874,0.0111499996856,-1.00E-05
