%time,time,field.X,field.Y,field.Z,field.A,field.B,field.C,%time,field.Vx,field.Vy,field.Vz,field.Speed
1.63888837207035E+018,28.231563008,1203.08361816,-1921.13513184,1230.2689209,0.00600000005215,-0.518299996853,179.277999878,1.63888837207036E+018,14.8477611542,-0.025123115629,-0.025123115629,14.8478031158
1.63888837207449E+018,28.235707648,1203.14404297,-1921.13476562,1230.26867676,0.00609999988228,-0.518299996853,179.277999878,1.63888837207451E+018,15.0750350952,0.0748760029674,-0.049917332828,15.0753030777
1.63888837207837E+018,28.239590144,1203.2043457,-1921.13464355,1230.26867676,0.00620000017807,-0.518299996853,179.277999878,1.63888837207841E+018,14.7155714035,0.0488078668714,0,14.7156524658
1.63888837208232E+018,28.243537664,1203.26464844,-1921.13439941,1230.26879883,0.0063000000082,-0.518199980259,179.277999878,1.63888837208233E+018,15.4916410446,0.051381893456,0.025690946728,15.4917478561
1.63888837208645E+018,28.24766976,1203.32617188,-1921.13378906,1230.26904297,0.00639999983832,-0.518199980259,179.277999878,1.63888837208649E+018,15.5466108322,0.151428028941,0.0504760108888,15.5474300385
1.6388883720904E+018,28.251619584,1203.3873291,-1921.13256836,1230.2677002,0.00650000013411,-0.518199980259,179.277999878,1.63888837209042E+018,14.817691803,0.291018486023,-0.315270036459,14.8239021301
1.63888837209445E+018,28.25566592,1203.4465332,-1921.13232422,1230.2677002,0.00659999996424,-0.518199980259,179.277999878,1.63888837209447E+018,15.034986496,0.0761908069253,0,15.0351791382
1.63888837209837E+018,28.259584,1203.50549316,-1921.13171387,1230.26794434,0.00680000009015,-0.51810002327,179.277999878,1.63888837209839E+018,14.9335546494,0.151866659522,0.0506222210824,14.9344129562
1.63888837210238E+018,28.26359296,1203.5645752,-1921.13134766,1230.26794434,0.00700000021607,-0.51810002327,179.277999878,1.63888837210245E+018,14.6728639603,0.0993087217212,0,14.6732006073
1.63888837210629E+018,28.267508736,1203.62463379,-1921.13049316,1230.26818848,0.00710000004619,-0.51810002327,179.277999878,1.6388883721063E+018,14.9467391968,0.19928984344,0.074733696878,14.9482536316
1.63888837211037E+018,28.27158912,1203.68579102,-1921.12988281,1230.26806641,0.00730000017211,-0.51810002327,179.277999878,1.63888837211037E+018,15.5939130783,0.152881503105,-0.0254802498966,15.5946836472
1.63888837211433E+018,28.27554432,1203.74645996,-1921.12890625,1230.26818848,0.00749999983236,-0.51810002327,179.277999878,1.63888837211435E+018,15.0549497604,0.248022228479,0.0248022228479,15.057012558
1.63888837211858E+018,28.27980032,1203.80822754,-1921.12756348,1230.26843262,0.0077999997884,-0.51810002327,179.277999878,1.6388883721186E+018,15.37753582,0.323999941349,0.0498461462557,15.3810300827
1.63888837212252E+018,28.283736576,1203.86743164,-1921.12670898,1230.26831055,0.00789999961853,-0.518000006676,179.277999878,1.63888837212257E+018,14.1927862167,0.215768709779,-0.0239743012935,14.1944465637
1.63888837212637E+018,28.28758528,1203.92602539,-1921.1262207,1230.26782227,0.00810000021011,-0.518000006676,179.277999878,1.63888837212638E+018,15.0438375473,0.128360390663,-0.128360390663,15.0449323654
1.63888837213033E+018,28.291547392,1203.98461914,-1921.12585449,1230.26831055,0.00820000004023,-0.518000006676,179.277999878,1.63888837213036E+018,14.7868013382,0.0757003501058,0.12616725266,14.7875337601
1.63888837213435E+018,28.295566592,1204.04272461,-1921.12597656,1230.2689209,0.00829999987036,-0.518000006676,179.277999878,1.63888837213438E+018,14.6430158615,-0.0252031236887,0.151218742132,14.6438179016
1.63888837213833E+018,28.29955072,1204.10192871,-1921.12524414,1230.26867676,0.00839999970049,-0.518000006676,179.277999878,1.63888837213834E+018,14.7386951447,0.199171558022,-0.0497928895056,14.7401247025
1.63888837214247E+018,28.3036864,1204.16235352,-1921.12487793,1230.26879883,0.00860000029206,-0.518000006676,179.277999878,1.63888837214249E+018,15.1858406067,0.0753016844392,0.0251005627215,15.186047554
1.63888837214644E+018,28.307652352,1204.22277832,-1921.12390137,1230.26855469,0.00870000012219,-0.518000006676,179.277999878,1.63888837214648E+018,14.8959817886,0.246622219682,-0.0493244417012,14.8981046677
1.63888837215037E+018,28.311590656,1204.28381348,-1921.12365723,1230.26916504,0.00879999995232,-0.517899990082,179.277999878,1.63888837215038E+018,15.2839031219,0.0501111596823,0.150333479047,15.2847251892
1.63888837215435E+018,28.31556736,1204.34362793,-1921.12414551,1230.26965332,0.00879999995232,-0.518000006676,179.277893066,1.63888837215437E+018,15.1625785828,-0.101421929896,0.126777410507,15.1634483337
1.63888837215838E+018,28.31959296,1204.40246582,-1921.12438965,1230.26989746,0.00879999995232,-0.518000006676,179.277893066,1.63888837215841E+018,14.6596546173,-0.0746671706438,0.0497781150043,14.6599292755
1.63888837216239E+018,28.323609344,1204.46069336,-1921.12475586,1230.26977539,0.00879999995232,-0.518000006676,179.277999878,1.63888837216241E+018,14.3323450089,-0.098504088819,-0.0246260222048,14.3327045441
1.63888837216632E+018,28.327536896,1204.51965332,-1921.12475586,1230.26953125,0.00870000012219,-0.517899990082,179.277999878,1.63888837216634E+018,14.6793174744,0,-0.0746405944228,14.6795072556
1.6388883721704E+018,28.331612928,1204.57910156,-1921.12536621,1230.27087402,0.00870000012219,-0.517899990082,179.277893066,1.63888837217041E+018,15.1527585983,-0.153058171272,0.3571357131,15.1577396393
1.63888837217441E+018,28.3356288,1204.63964844,-1921.12585449,1230.27075195,0.00870000012219,-0.517899990082,179.277893066,1.63888837217443E+018,14.977889061,-0.123784206808,-0.0247568413615,14.9784212112
1.63888837217836E+018,28.339574528,1204.70007324,-1921.12561035,1230.27038574,0.00870000012219,-0.517899990082,179.277893066,1.63888837217838E+018,14.9004926682,0.073886744678,-0.0985156521201,14.9010019302
1.63888837218242E+018,28.343640832,1204.76049805,-1921.1262207,1230.27087402,0.00870000012219,-0.517899990082,179.277893066,1.63888837218244E+018,15.2999134064,-0.151985898614,0.126654908061,15.3011922836
1.6388883721863E+018,28.34752,1204.81982422,-1921.12646484,1230.27075195,0.00870000012219,-0.517899990082,179.277801514,1.63888837218633E+018,14.8048944473,-0.0748982876539,-0.0249660946429,14.8051052094
1.63888837219031E+018,28.35153152,1204.87976074,-1921.12719727,1230.27197266,0.00860000029206,-0.517899990082,179.277801514,1.63888837219034E+018,15.3450145721,-0.179025173187,0.306900292635,15.3491277695
1.63888837219437E+018,28.355585792,1204.93798828,-1921.12719727,1230.27172852,0.00860000029206,-0.517899990082,179.277801514,1.63888837219437E+018,14.5319976807,0,-0.0749072059989,14.5321903229
1.63888837219836E+018,28.359578624,1204.99804688,-1921.12744141,1230.27209473,0.00860000029206,-0.517899990082,179.277801514,1.63888837219838E+018,14.8505983353,-0.0495019927621,0.0990039855242,14.8510112762
