%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z,field.R,field.P,field.Y
1635842892895181527,24558,0,,-1.91056001186,-0.0328396633267,0.518849134445,0.0,0.0,0.0
1635842892903210723,24559,0,,-1.91056001186,-0.0328396633267,0.518849134445,0.0,0.0,0.0
1635842892911164402,24560,0,,-1.91056001186,-0.0328396633267,0.518849134445,0.0,0.0,0.0
1635842892919145371,24561,0,,-1.91056001186,-0.0328396633267,0.518849134445,0.0,0.0,0.0
1635842892927035010,24562,0,,-1.91054284573,-0.0329065732658,0.518852829933,0.0,0.0,0.0
1635842892935096539,24563,0,,-1.91054284573,-0.0329065732658,0.518852829933,0.0,0.0,0.0
1635842892943010924,24564,0,,-1.91054284573,-0.0329065732658,0.518852829933,0.0,0.0,0.0
1635842892951030293,24565,0,,-1.91054284573,-0.0329065732658,0.518852829933,0.0,0.0,0.0
1635842892959109996,24566,0,,-1.91054284573,-0.0329065732658,0.518852829933,0.0,0.0,0.0
1635842892967176251,24567,0,,-1.91054284573,-0.0329065732658,0.518852829933,0.0,0.0,0.0
1635842892975168289,24568,0,,-1.9105322361,-0.0330942161381,0.518850684166,0.0,0.0,0.0
1635842892983074122,24569,0,,-1.9105322361,-0.0330942161381,0.518850684166,0.0,0.0,0.0
1635842892991150295,24570,0,,-1.9105322361,-0.0330942161381,0.518850684166,0.0,0.0,0.0
1635842892999100900,24571,0,,-1.9105322361,-0.0330942161381,0.518850684166,0.0,0.0,0.0
1635842893007142710,24572,0,,-1.9105322361,-0.0330942161381,0.518850684166,0.0,0.0,0.0
1635842893015109258,24573,0,,-1.9105322361,-0.0330942161381,0.518850684166,0.0,0.0,0.0
1635842893023053217,24574,0,,-1.91053318977,-0.0331462919712,0.518843173981,0.0,0.0,0.0
1635842893031210877,24575,0,,-1.91053318977,-0.0331462919712,0.518843173981,0.0,0.0,0.0
1635842893039169504,24576,0,,-1.91053318977,-0.0331462919712,0.518843173981,0.0,0.0,0.0
1635842893047175365,24577,0,,-1.91053318977,-0.0331462919712,0.518843173981,0.0,0.0,0.0
1635842893055100725,24578,0,,-1.91053318977,-0.0331462919712,0.518843173981,0.0,0.0,0.0
1635842893063215184,24579,0,,-1.91053318977,-0.0331462919712,0.518843173981,0.0,0.0,0.0
1635842893071032917,24580,0,,-1.91052615643,-0.0332445763052,0.518842697144,0.0,0.0,0.0
1635842893079103665,24581,0,,-1.91052615643,-0.0332445763052,0.518842697144,0.0,0.0,0.0
1635842893087212057,24582,0,,-1.91052615643,-0.0332445763052,0.518842697144,0.0,0.0,0.0
1635842893095108923,24583,0,,-1.91052615643,-0.0332445763052,0.518842697144,0.0,0.0,0.0
1635842893103149490,24584,0,,-1.91052615643,-0.0332445763052,0.518842697144,0.0,0.0,0.0
1635842893111126692,24585,0,,-1.91052615643,-0.0332445763052,0.518842697144,0.0,0.0,0.0
1635842893119201382,24586,0,,-1.91052782536,-0.0333226956427,0.518842577934,0.0,0.0,0.0
1635842893127139937,24587,0,,-1.91052782536,-0.0333226956427,0.518842577934,0.0,0.0,0.0
1635842893135183450,24588,0,,-1.91052782536,-0.0333226956427,0.518842577934,0.0,0.0,0.0
1635842893143485374,24589,0,,-1.91052782536,-0.0333226956427,0.518842577934,0.0,0.0,0.0
1635842893151416260,24590,0,,-1.91052782536,-0.0333226956427,0.518842577934,0.0,0.0,0.0
1635842893159405249,24591,0,,-1.91052782536,-0.0333226956427,0.518842577934,0.0,0.0,0.0
1635842893167292427,24592,0,,-1.91085588932,-0.0333905145526,0.518758118153,0.0,0.0,0.0
1635842893175108976,24593,0,,-1.91085588932,-0.0333905145526,0.518758118153,0.0,0.0,0.0
1635842893183174390,24594,0,,-1.91085588932,-0.0333905145526,0.518758118153,0.0,0.0,0.0
1635842893191099600,24595,0,,-1.91085588932,-0.0333905145526,0.518758118153,0.0,0.0,0.0
1635842893199132525,24596,0,,-1.91085588932,-0.0333905145526,0.518758118153,0.0,0.0,0.0
1635842893207087946,24597,0,,-1.91085588932,-0.0333905145526,0.518758118153,0.0,0.0,0.0
1635842893215122352,24598,0,,-1.9118771553,-0.0334412530065,0.518555939198,0.0,0.0,0.0
1635842893223164459,24599,0,,-1.9118771553,-0.0334412530065,0.518555939198,0.0,0.0,0.0
1635842893231097824,24600,0,,-1.9118771553,-0.0334412530065,0.518555939198,0.0,0.0,0.0
1635842893239237844,24601,0,,-1.9118771553,-0.0334412530065,0.518555939198,0.0,0.0,0.0
1635842893247101936,24602,0,,-1.9118771553,-0.0334412530065,0.518555939198,0.0,0.0,0.0
1635842893255365280,24603,0,,-1.9130769968,-0.0335201136768,0.518552958965,0.0,0.0,0.0
1635842893263313429,24604,0,,-1.91317737103,-0.0335286296904,0.518553853035,0.0,0.0,0.0
1635842893271378176,24605,0,,-1.91317737103,-0.0335286296904,0.518553853035,0.0,0.0,0.0
1635842893279318220,24606,0,,-1.91317737103,-0.0335286296904,0.518553853035,0.0,0.0,0.0
1635842893287795509,24607,0,,-1.91317737103,-0.0335286296904,0.518553853035,0.0,0.0,0.0
1635842893295208660,24608,0,,-1.91317737103,-0.0335286296904,0.518553853035,0.0,0.0,0.0
1635842893303245426,24609,0,,-1.91414642334,-0.033556073904,0.518583834171,0.0,0.0,0.0
1635842893311183831,24610,0,,-1.91414642334,-0.033556073904,0.518583834171,0.0,0.0,0.0
1635842893319170272,24611,0,,-1.91414642334,-0.033556073904,0.518583834171,0.0,0.0,0.0
1635842893327124752,24612,0,,-1.91414642334,-0.033556073904,0.518583834171,0.0,0.0,0.0
1635842893335103499,24613,0,,-1.91414642334,-0.033556073904,0.518583834171,0.0,0.0,0.0
1635842893343144060,24614,0,,-1.91414642334,-0.033556073904,0.518583834171,0.0,0.0,0.0
1635842893351156110,24615,0,,-1.91524839401,-0.0335774458945,0.518589377403,0.0,0.0,0.0
1635842893359048818,24616,0,,-1.91524839401,-0.0335774458945,0.518589377403,0.0,0.0,0.0
1635842893367220875,24617,0,,-1.91524839401,-0.0335774458945,0.518589377403,0.0,0.0,0.0
1635842893375104106,24618,0,,-1.91524839401,-0.0335774458945,0.518589377403,0.0,0.0,0.0
1635842893383063085,24619,0,,-1.91524839401,-0.0335774458945,0.518589377403,0.0,0.0,0.0
1635842893391057617,24620,0,,-1.91630458832,-0.0335837677121,0.51862859726,0.0,0.0,0.0
1635842893399060736,24621,0,,-1.91630458832,-0.0335837677121,0.51862859726,0.0,0.0,0.0
1635842893407181988,24622,0,,-1.91630458832,-0.0335837677121,0.51862859726,0.0,0.0,0.0
1635842893415054255,24623,0,,-1.91630458832,-0.0335837677121,0.51862859726,0.0,0.0,0.0
1635842893423422398,24624,0,,-1.91630458832,-0.0335837677121,0.51862859726,0.0,0.0,0.0
1635842893431558886,24625,0,,-1.91630458832,-0.0335837677121,0.51862859726,0.0,0.0,0.0
1635842893439399872,24626,0,,-1.91737926006,-0.0335869528353,0.518650710583,0.0,0.0,0.0
1635842893447338171,24627,0,,-1.91737926006,-0.0335869528353,0.518650710583,0.0,0.0,0.0
1635842893455249568,24628,0,,-1.91737926006,-0.0335869528353,0.518650710583,0.0,0.0,0.0
1635842893463254284,24629,0,,-1.91737926006,-0.0335869528353,0.518650710583,0.0,0.0,0.0
1635842893471135060,24630,0,,-1.91737926006,-0.0335869528353,0.518650710583,0.0,0.0,0.0
1635842893479043682,24631,0,,-1.9184564352,-0.0335961245,0.518672525883,0.0,0.0,0.0
1635842893487244245,24632,0,,-1.9184564352,-0.0335961245,0.518672525883,0.0,0.0,0.0
1635842893495070292,24633,0,,-1.9184564352,-0.0335961245,0.518672525883,0.0,0.0,0.0
1635842893503091071,24634,0,,-1.9184564352,-0.0335961245,0.518672525883,0.0,0.0,0.0
1635842893511081500,24635,0,,-1.9184564352,-0.0335961245,0.518672525883,0.0,0.0,0.0
1635842893519422154,24636,0,,-1.9184564352,-0.0335961245,0.518672525883,0.0,0.0,0.0
1635842893527319618,24637,0,,-1.91955447197,-0.0335992351174,0.518675923347,0.0,0.0,0.0
1635842893535407538,24638,0,,-1.91955447197,-0.0335992351174,0.518675923347,0.0,0.0,0.0
1635842893543416506,24639,0,,-1.91955447197,-0.0335992351174,0.518675923347,0.0,0.0,0.0
1635842893551383476,24640,0,,-1.91955447197,-0.0335992351174,0.518675923347,0.0,0.0,0.0
1635842893559404313,24641,0,,-1.91955447197,-0.0335992351174,0.518675923347,0.0,0.0,0.0
1635842893567370240,24642,0,,-1.91955447197,-0.0335992351174,0.518675923347,0.0,0.0,0.0
1635842893575194217,24643,0,,-1.9207624197,-0.0335985198617,0.518657982349,0.0,0.0,0.0
1635842893583214194,24644,0,,-1.9207624197,-0.0335985198617,0.518657982349,0.0,0.0,0.0
1635842893591174432,24645,0,,-1.9207624197,-0.0335985198617,0.518657982349,0.0,0.0,0.0
1635842893599182686,24646,0,,-1.9207624197,-0.0335985198617,0.518657982349,0.0,0.0,0.0
1635842893607220793,24647,0,,-1.9207624197,-0.0335985198617,0.518657982349,0.0,0.0,0.0
1635842893615147264,24648,0,,-1.92194521427,-0.0336009673774,0.51866465807,0.0,0.0,0.0
1635842893623423276,24649,0,,-1.92194521427,-0.0336009673774,0.51866465807,0.0,0.0,0.0
1635842893631477412,24650,0,,-1.92194521427,-0.0336009673774,0.51866465807,0.0,0.0,0.0
1635842893639396008,24651,0,,-1.92194521427,-0.0336009673774,0.51866465807,0.0,0.0,0.0
1635842893647346142,24652,0,,-1.92194521427,-0.0336009673774,0.51866465807,0.0,0.0,0.0
1635842893655158040,24653,0,,-1.92194521427,-0.0336009673774,0.51866465807,0.0,0.0,0.0
1635842893663235765,24654,0,,-1.92295110226,-0.03360934183,0.518654286861,0.0,0.0,0.0
1635842893671111785,24655,0,,-1.92295110226,-0.03360934183,0.518654286861,0.0,0.0,0.0
1635842893679145601,24656,0,,-1.92295110226,-0.03360934183,0.518654286861,0.0,0.0,0.0
1635842893687067905,24657,0,,-1.92295110226,-0.03360934183,0.518654286861,0.0,0.0,0.0
1635842893695094362,24658,0,,-1.92295110226,-0.03360934183,0.518654286861,0.0,0.0,0.0
1635842893703066884,24659,0,,-1.92403972149,-0.0336090959609,0.51864862442,0.0,0.0,0.0
1635842893711078088,24660,0,,-1.92403972149,-0.0336090959609,0.51864862442,0.0,0.0,0.0
1635842893719485495,24661,0,,-1.92403972149,-0.0336090959609,0.51864862442,0.0,0.0,0.0
1635842893727419187,24662,0,,-1.92403972149,-0.0336090959609,0.51864862442,0.0,0.0,0.0
1635842893735480817,24663,0,,-1.92403972149,-0.0336090959609,0.51864862442,0.0,0.0,0.0
1635842893743328393,24664,0,,-1.92403972149,-0.0336090959609,0.51864862442,0.0,0.0,0.0
1635842893751492657,24665,0,,-1.92495787144,-0.0336243882775,0.518665015697,0.0,0.0,0.0
1635842893759425055,24666,0,,-1.92495787144,-0.0336243882775,0.518665015697,0.0,0.0,0.0
1635842893767415964,24667,0,,-1.92495787144,-0.0336243882775,0.518665015697,0.0,0.0,0.0
1635842893775205741,24668,0,,-1.92495787144,-0.0336243882775,0.518665015697,0.0,0.0,0.0
1635842893783243429,24669,0,,-1.92495787144,-0.0336243882775,0.518665015697,0.0,0.0,0.0
1635842893791134336,24670,0,,-1.92495787144,-0.0336243882775,0.518665015697,0.0,0.0,0.0
1635842893799068894,24671,0,,-1.92540419102,-0.0336323194206,0.518691599369,0.0,0.0,0.0
1635842893807087398,24672,0,,-1.92540419102,-0.0336323194206,0.518691599369,0.0,0.0,0.0
1635842893815229616,24673,0,,-1.92540419102,-0.0336323194206,0.518691599369,0.0,0.0,0.0
1635842893823089725,24674,0,,-1.92540419102,-0.0336323194206,0.518691599369,0.0,0.0,0.0
1635842893831058571,24675,0,,-1.92540419102,-0.0336323194206,0.518691599369,0.0,0.0,0.0
1635842893839072711,24676,0,,-1.92540419102,-0.0336323194206,0.518691599369,0.0,0.0,0.0
1635842893847246051,24677,0,,-1.92544925213,-0.0336379669607,0.518704295158,0.0,0.0,0.0
1635842893855231949,24678,0,,-1.92544925213,-0.0336379669607,0.518704295158,0.0,0.0,0.0
1635842893863140417,24679,0,,-1.92544925213,-0.0336379669607,0.518704295158,0.0,0.0,0.0
1635842893871121229,24680,0,,-1.92544925213,-0.0336379669607,0.518704295158,0.0,0.0,0.0
1635842893879151922,24681,0,,-1.92544925213,-0.0336379669607,0.518704295158,0.0,0.0,0.0
1635842893887208984,24682,0,,-1.92544925213,-0.0336379669607,0.518704295158,0.0,0.0,0.0
1635842893895090481,24683,0,,-1.92546594143,-0.0336347185075,0.518699765205,0.0,0.0,0.0
1635842893903121332,24684,0,,-1.92546594143,-0.0336347185075,0.518699765205,0.0,0.0,0.0
1635842893911037978,24685,0,,-1.92546594143,-0.0336347185075,0.518699765205,0.0,0.0,0.0
1635842893919111094,24686,0,,-1.92546594143,-0.0336347185075,0.518699765205,0.0,0.0,0.0
1635842893927102226,24687,0,,-1.92546594143,-0.0336347185075,0.518699765205,0.0,0.0,0.0
1635842893935289904,24688,0,,-1.92548370361,-0.0336637012661,0.518694460392,0.0,0.0,0.0
1635842893943306389,24689,0,,-1.92548370361,-0.0336637012661,0.518694460392,0.0,0.0,0.0
1635842893951329964,24690,0,,-1.92548370361,-0.0336637012661,0.518694460392,0.0,0.0,0.0
1635842893959277744,24691,0,,-1.92548370361,-0.0336637012661,0.518694460392,0.0,0.0,0.0
