field.header.stamp,time,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,,field.header.stamp,time,field.value,,field.header.stamp,field.speed,field.vx,field.vy,field.vz
1.591623783356E+018,234.583051776,114.014091492,106.62147522,0.536228001118,391.57421875,257.268585205,,1.59162378331405E+018,234.57348608,3.20000004768,,,,,,
1.59162378339729E+018,234.624341248,115.609397888,105.50163269,0.534378170967,392.506317139,256.745849609,,1.591623783356E+018,234.615441664,3.20000004768,,,,,,
1.59162378341528E+018,234.642331904,112.579299927,104.993209839,0.290305733681,391.532440186,255.966949463,,1.59162378339729E+018,234.656731136,3.20000004768,,,,,,
1.59162378345373E+018,234.680778496,112.512916565,106.015213013,0.074969984591,390.893005371,256.161407471,,1.59162378341528E+018,234.674721792,3.20000004768,,,,,,
1.59162378349485E+018,234.721897728,113.686286926,106.131950378,0.0237528663129,391.754760742,255.606262207,,1.59162378345373E+018,234.713168384,3.20000004768,,,,,,
1.59162378352629E+018,234.753337344,113.349517822,106.420150757,0.179658845067,391.883148193,256.972076416,,1.59162378349485E+018,234.754287616,3.20000004768,,,,,,
1.59162378355054E+018,234.77759488,115.685066223,107.00932312,0.602805316448,392.736724854,257.803588867,,1.59162378352629E+018,234.785727232,3.20000004768,,,,,,
1.59162378358176E+018,234.808813056,114.993545532,105.711662292,0.446833819151,392.401550293,257.055541992,,1.59162378355054E+018,234.809984768,3.20000004768,,,,,,
1.59162378361354E+018,234.840590592,113.849777222,105.477684021,0.355943471193,392.765350342,257.253601074,,1.59162378358176E+018,234.841202944,3.20000004768,,,,,,
1.59162378364981E+018,234.876860672,115.861320496,104.77015686,0.211968049407,392.845367432,256.782470703,,1.59162378361354E+018,234.87298048,3.20000004768,,,,,,
1.5916237836836E+018,234.91065216,113.985450745,103.654945374,0.30156186223,391.854064941,256.744750977,,1.59162378364981E+018,234.90925056,3.20000004768,,,,,,
1.59162378372475E+018,234.9517952,111.962417603,106.323066711,0.224904745817,392.481262207,256.128448486,,1.5916237836836E+018,234.943042048,3.20000004768,,,,,,
1.59162378376076E+018,234.98780544,114.079551697,105.292472839,0.218600258231,391.836914062,256.975921631,,1.59162378372475E+018,234.984185088,3.20000004768,,,,,,
1.59162378378954E+018,235.016594944,113.237487793,105.327003479,0.295566141605,392.224121094,256.827880859,,1.59162378376076E+018,235.020195328,3.20000004768,,,,,,
1.59162378382292E+018,235.049967872,112.684967041,105.690071106,0.0998846516013,392.7578125,257.04019165,,1.59162378378954E+018,235.048984832,3.20000004768,,,,,,
1.59162378385307E+018,235.080118016,113.12374115,104.77571106,0.298421323299,392.530151367,256.842926025,,1.59162378382292E+018,235.08235776,3.20000004768,,,,,,
1.59162378388449E+018,235.11154176,113.143684387,104.03213501,0.24668315053,392.097137451,256.68447876,,1.59162378385307E+018,235.112507904,3.20000004768,,,,,,
1.59162378392209E+018,235.149144576,113.474563599,105.027328491,0.324702709913,392.437042236,256.815795898,,1.59162378388449E+018,235.143931648,3.20000004768,,,,,,
1.59162378395988E+018,235.186934016,114.771011353,103.958526611,0.317722588778,393.10168457,256.830780029,,1.59162378392209E+018,235.181534464,3.20000004768,,,,,,
1.59162378398959E+018,235.216640256,113.210235596,104.234016418,0.427097409964,393.058990479,256.893981934,,1.59162378395988E+018,235.219323904,3.20000004768,,,,,,
1.59162378402567E+018,235.2527232,114.526405334,102.99912262,0.242431551218,393.052185059,256.663238525,,1.59162378398959E+018,235.249030144,3.20000004768,,,,,,
1.59162378406176E+018,235.288807168,112.293518066,99.6417007446,0.238876625896,392.121856689,256.887115479,,1.59162378402567E+018,235.285113088,3.20000004768,,,,,,
1.59162378408256E+018,235.309610496,110.547546387,97.6482696533,0.163859769702,392.205291748,256.92010498,,1.59162378406176E+018,235.321197056,3.20000004768,,,,,,
1.5916237841259E+018,235.3529472,112.224205017,92.8841629028,0.153360396624,390.915405273,257.885223389,,1.59162378408256E+018,235.342000384,3.20000004768,,,,,,
1.59162378415571E+018,235.3827648,116.457885742,93.9639892578,0.20017850399,390.464477539,255.960494995,,1.5916237841259E+018,235.385337088,3.20000004768,,,,,,
1.59162378420328E+018,235.430326528,118.497695923,96.9673690796,0.275834769011,389.224975586,255.748291016,,1.59162378415571E+018,235.415154688,3.20000004768,,,,,,
1.59162378422013E+018,235.447175424,131.696594238,94.4661712646,0.455648362637,382.513641357,254.74067688,,1.59162378420328E+018,235.462716416,3.20000004768,,,,,,
1.59162378424971E+018,235.47675776,166.705444336,93.2498245239,0.150640636683,368.12689209,256.64465332,,1.59162378422013E+018,235.479565312,3.20000004768,,,,,,
1.59162378428124E+018,235.508292096,140.549758911,98.1248474121,0.39603215456,379.923400879,256.617675781,,1.59162378424971E+018,235.509147648,3.20000004768,,,,,,
1.59162378431816E+018,235.545211904,180.678497314,104.704704285,0.279849618673,368.650848389,252.898193359,,1.59162378428124E+018,235.540681984,3.20000004768,,,,,,
1.59162378435373E+018,235.580775936,165.373382568,120.872154236,0.585150301456,374.065002441,241.691589355,,1.59162378431816E+018,235.577601792,3.20000004768,,,,,,
1.59162378438223E+018,235.609283328,168.991333008,132.492370605,0.498595684767,372.023864746,234.775909424,,1.59162378435373E+018,235.613165824,3.20000004768,,,,,,
1.59162378442438E+018,235.651432704,166.747039795,138.840148926,1.25685012341,382.259368896,225.324325562,,1.59162378438223E+018,235.641673216,3.20000004768,,,,,,
1.59162378445324E+018,235.680294656,164.252838135,125.98236084,1.15644872189,385.866729736,228.581253052,,1.59162378442438E+018,235.683822592,3.20000004768,,,,,,
1.59162378448408E+018,235.711133952,161.150009155,137.52633667,1.38047587872,389.16305542,225.763076782,,1.59162378445324E+018,235.712684544,3.20000004768,,,,,,
1.59162378451884E+018,235.745889024,127.83530426,117.057861328,-1.14591860771,394.150817871,244.178375244,,1.59162378448408E+018,235.74352384,3.20000004768,,,,,,
1.59162378455085E+018,235.777897728,120.362876892,112.515411377,-0.979875862598,393.690643311,246.816574097,,1.59162378451884E+018,235.778278912,3.20000004768,,,,,,
1.59162378458757E+018,235.814621696,120.462135315,110.936569214,-0.869451284409,394.675415039,246.669952393,,1.59162378455085E+018,235.810287616,3.20000004768,,,,,,
1.59162378462609E+018,235.85313536,113.92199707,109.902198792,-0.416774988174,392.683929443,249.486221313,,1.59162378458757E+018,235.847011584,3.20000004768,,,,,,
1.59162378466303E+018,235.89008256,112.907600403,108.002090454,-0.201118335128,393.079193115,250.844009399,,1.59162378462609E+018,235.885525248,3.20000004768,,,,,,
1.59162378471159E+018,235.938643456,112.886024475,107.9139328,0.0281663909554,392.72088623,249.874908447,,1.59162378466303E+018,235.922472448,3.20000004768,,,,,,
1.59162378472838E+018,235.95543168,114.627182007,107.337799072,0.19553154707,392.494262695,250.086044312,,1.59162378471159E+018,235.971033344,3.20000004768,,,,,,
1.5916237847561E+018,235.983150848,113.961219788,106.766410828,0.212825059891,392.569885254,249.408081055,,1.59162378472838E+018,235.987821568,3.20000004768,,,,,,
1.59162378478888E+018,236.015933696,112.589836121,106.420974731,0.316768497229,392.052093506,250.052322388,,1.5916237847561E+018,236.015540736,3.20000004768,,,,,,
1.5916237848203E+018,236.047354624,114.505897522,106.929237366,0.319508105516,392.570465088,249.668243408,,1.59162378478888E+018,236.048323584,3.20000004768,,,,,,
1.59162378485745E+018,236.084496384,114.113899231,107.549491882,0.343821018934,392.593200684,249.54447937,,1.5916237848203E+018,236.079744512,3.20000004768,,,,,,
1.59162378488791E+018,236.11496192,112.711227417,104.975891113,0.11300458014,392.539337158,250.078811646,,1.59162378485745E+018,236.116886272,3.20000004768,,,,,,
1.59162378492286E+018,236.149909248,111.133537292,106.190139771,0.208963468671,392.713409424,249.282684326,,1.59162378488791E+018,236.147351808,3.20000004768,,,,,,
1.59162378495644E+018,236.183486976,113.480522156,104.990394592,0.0105336010456,393.5184021,249.337081909,,1.59162378492286E+018,236.182299136,3.20000004768,,,,,,
1.59162378498473E+018,236.211776,115.988563538,106.459869385,-0.0185221526772,395.019470215,249.418121338,,1.59162378495644E+018,236.215876864,3.20000004768,,,,,,
