time,stamps,major_axis,minor_axis,orientation,x,y,minor_axis_average
1.62004609151958E+018,1.62004609150451E+018,52.6805534363,11.6342115402,1.4515568018,285.112823486,246.522232056,101.313240051
1.62004609155219E+018,1.62004609153677E+018,44.839931488,10.0184192657,-1.5550122261,306.104217529,244.766189575,101.313240051
1.62004609159026E+018,1.62004609157487E+018,32.6864700317,4.81711292267,1.41733109951,301.030792236,239.236160278,101.313240051
1.62004609162527E+018,1.6200460916101E+018,31.6786403656,4.03939580917,1.4216850996,312.589782715,226.276397705,101.313240051
1.620046091659E+018,1.62004609164172E+018,33.7297019958,4.50975513458,1.48109710217,281.617950439,204.102233887,101.313240051
1.62004609169181E+018,1.62004609167759E+018,31.5428619385,3.37051868439,1.4475479126,330.705596924,207.806655884,101.313240051
1.62004609172418E+018,1.62004609170974E+018,21.9516677856,3.56829071045,1.44919157028,299.564147949,186.158462524,101.313240051
1.62004609175639E+018,1.6200460917413E+018,10.2607040405,3.69198417664,1.45270860195,275.091033936,223.286361694,101.313240051
1.62004609179262E+018,1.6200460917777E+018,10.0028619766,2.42794036865,1.51228559017,281.131896973,215.939620972,101.313240051
1.62004609182444E+018,1.62004609180964E+018,9.01883411407,3.64302372932,1.29064404964,294.015930176,206.740325928,101.313240051
1.62004609185969E+018,1.62004609184174E+018,0,0,0,0,0,101.313240051
1.6200460918917E+018,1.62004609187767E+018,0,0,0,0,0,101.313240051
1.62004609192501E+018,1.62004609190967E+018,0,0,0,0,0,101.313240051
1.62004609195744E+018,1.62004609194164E+018,0,0,0,0,0,101.313240051
1.62004609199138E+018,1.62004609197772E+018,0,0,0,0,0,101.313240051
1.62004609202344E+018,1.62004609200962E+018,0,0,0,0,0,101.313240051
1.62004609205647E+018,1.62004609204185E+018,0,0,0,0,0,101.313240051
1.6200460920921E+018,1.62004609207767E+018,0,0,0,0,0,101.313240051
1.62004609212727E+018,1.62004609211046E+018,0,0,0,0,0,101.313240051
1.62004609215725E+018,1.62004609214257E+018,0,0,0,0,0,101.313240051
1.62004609218631E+018,1.62004609217253E+018,0,0,0,0,0,101.313240051
1.62004609221898E+018,1.62004609220483E+018,0,0,0,0,0,101.313240051
1.6200460922517E+018,1.6200460922368E+018,0,0,0,0,0,101.313240051
1.62004609228951E+018,1.62004609227479E+018,49.0939331055,12.9969816208,0.563184142113,331.757873535,317.756591797,101.313240051
1.62004609232481E+018,1.62004609230967E+018,56.1900024414,21.6173534393,0.251347005367,339.683502197,317.887878418,101.313240051
