%time,field.header.seq,field.header.stamp,time,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,,field.header.stamp,time,field.value,,field.header.stamp,time,field.speed,field.vx,field.vy,field.vz
1.59161414946409E+018,4191,1.59161414943206E+018,128.520499712,111.427459717,99.0096282959,-0.256140977144,394.430633545,265.820129395,,1.59161414943206E+018,128.520502016,2.70000004768,,1.5916142631335E+018,242.230760192,0.0230999998748,0.00159999995958,0.023089999333,-2.00E-05
1.59161414948327E+018,4192,1.59161414946468E+018,128.5531136,116.859184265,97.0101470947,-0.115261748433,396.399047852,266.075012207,,1.59161414946468E+018,128.553115904,2.70000004768,,1.5916142631898E+018,242.28706816,0.023199999705,0.00162999995518,0.0231299996376,-2.00E-05
1.59161414952491E+018,4193,1.59161414949888E+018,128.58731776,112.304267883,99.1186523438,-0.0826177820563,394.44354248,265.597625732,,1.59161414949888E+018,128.587320064,2.70000004768,,1.59161426324605E+018,242.343311104,0.0230999998748,0.00152000004891,0.0230500008911,5.00E-05
1.59161414955763E+018,4194,1.59161414953026E+018,128.618695936,110.37865448,97.2639465332,-0.226390257478,393.241149902,265.038085938,,1.59161414953026E+018,128.61869824,2.70000004768,,1.59161426332765E+018,242.424913408,0.0206000003964,0.00156999996398,0.0205700006336,-4.00E-05
1.59161414958288E+018,4195,1.59161414956267E+018,128.65110656,106.413848877,98.9466400146,-0.395915240049,393.055297852,265.307342529,,1.59161414956267E+018,128.651108864,2.70000004768,,1.59161426338463E+018,242.481893376,0.0194000005722,0.00190999999177,0.019319999963,-1.00E-05
1.59161414961916E+018,4196,1.59161414959942E+018,128.6878528,105.082832336,98.3198013306,-0.373119801283,392.256439209,265.873413086,,1.59161414959942E+018,128.687855104,2.70000004768,,1.59161426344163E+018,242.538891008,0.017899999395,0.00209000008181,0.0178200006485,0
1.59161414966925E+018,4197,1.59161414963662E+018,128.72505856,104.240440369,98.7381896973,-0.377477794886,392.16116333,265.676544189,,1.59161414963662E+018,128.725060864,2.5,,1.59161426350108E+018,242.598340864,0.0153999999166,0.00197999994271,0.0152799999341,0
1.59161414969154E+018,4198,1.59161414966592E+018,128.7543616,110.726905823,96.0090179443,-0.190857574344,394.584320068,264.927368164,,1.59161414966592E+018,128.754363904,2.5,,1.59161426355916E+018,242.656424192,0.0113000003621,0.00182999996468,0.0111899999902,0
1.59161414972063E+018,4199,1.59161414969537E+018,128.783805696,106.737609863,98.7725143433,-0.350557893515,393.59463501,265.238861084,,1.59161414969537E+018,128.783808,2.5,,1.59161426362035E+018,242.717618176,0.00659999996424,0.00150000001304,0.00639999983832,0
1.59161414976042E+018,4200,1.59161414972996E+018,128.81840128,104.720573425,97.3410720825,-0.374993860722,392.709259033,266.109283447,,1.59161414972996E+018,128.818403584,2.5,,1.59161426368481E+018,242.782070272,0.00170000002254,0.00107999995816,0.00127000000793,0
1.59161414979911E+018,4201,1.59161414977492E+018,128.863354368,108.953483582,97.4364852905,-0.218574687839,393.984466553,265.778503418,,1.59161414977492E+018,128.863356672,2.5,,1.59161426375428E+018,242.851540992,0.00350000010803,0.000679999997374,-0.00343000004068,-2.00E-05
1.59161414983139E+018,4202,1.59161414979705E+018,128.88548864,108.603263855,97.1609039307,-0.112575411797,394.558624268,265.737579346,,1.59161414979705E+018,128.885490944,2.5,,1.59161426382499E+018,242.922249216,0.00810000021011,0.000280000007479,-0.00807000044733,0
1.59161414986725E+018,4203,1.59161414983622E+018,128.924661504,106.587379456,93.6754760742,-0.16780897975,395.49407959,265.531585693,,1.59161414983622E+018,128.924663808,2.5,,1.59161426387851E+018,242.975777024,0.0120000001043,5.00E-05,-0.0120000001043,-4.00E-05
1.59161414988891E+018,4204,1.59161414986913E+018,128.957572096,103.093055725,94.0039291382,-0.249930217862,393.587646484,265.617645264,,1.59161414986913E+018,128.9575744,2.5,,1.59161426393098E+018,243.028243968,0.0153000000864,-0.000360000005458,-0.0153200002387,5.00E-05
