%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration,field.acceleration_averaged
1635821699215720039,551,1635821699215591907,,-23.7337703705,1.88000202179
1635821699219689149,552,1635821699219609975,,-7.6156001091,0.255441993475
1635821699223728766,553,1635821699223588943,,7.8914899826,-3.29766988754
1635821699227718840,554,1635821699227534055,,-15.5128698349,-2.06605792046
1635821699231707315,555,1635821699231581926,,7.26308012009,-6.34153413773
1635821699235708146,556,1635821699235594034,,-1.84441995621,-1.96366405487
1635821699239718771,557,1635821699239590883,,12.2346401215,2.00638389587
1635821699243727701,558,1635821699243572950,,-10.2961597443,-1.63114595413
1635821699247767967,559,1635821699247597932,,18.8820705414,5.24784183502
1635821699251675035,560,1635821699251511096,,-19.1405200958,-0.0328780002892
1635821699255740426,561,1635821699255593061,,-15.164270401,-2.69684791565
1635821699259810683,562,1635821699259632110,,0.0,-5.14377593994
1635821699263732570,563,1635821699263571023,,0.0,-3.08454394341
1635821699267740213,564,1635821699267560005,,15.216919899,-3.8175740242
1635821699271937583,565,1635821699271677017,,-7.50544023514,-1.49055802822
1635821699275728869,566,1635821699275609970,,23.9006195068,6.32242012024
1635821699279786532,567,1635821699279589891,,-6.78404998779,4.96561002731
1635821699283751846,568,1635821699283607006,,-7.16932010651,3.53174591064
1635821699287764725,569,1635821699287604093,,1.67622005939,0.823606014252
1635821699292123428,570,1635821699291901111,,-5.93435001373,1.13782405853
1635821699295761275,571,1635821699295582056,,13.963809967,-0.84953802824
1635821699299754381,572,1635821699299614906,,-10.0921201706,-1.51115202904
1635821699303854521,573,1635821699303705930,,0.0488899983466,-0.0675100013614
1635821699307729819,574,1635821699307569026,,-7.42926979065,-1.88860797882
1635821699311672850,575,1635821699311533927,,7.64205980301,0.826673984528
1635821699315817528,576,1635821699315679073,,30.5417499542,4.14226198196
1635821699319727320,577,1635821699319556951,,-28.6754798889,0.425590008497
1635821699323699716,578,1635821699323569059,,-19.2168292999,-3.42755389214
1635821699327828145,579,1635821699327672958,,17.8854293823,1.63538599014
1635821699331588105,580,1635821699331492900,,8.32472991943,1.77191996574
1635821699335705491,581,1635821699335577011,,-3.86864995956,-5.11015987396
1635821699339903094,582,1635821699339757919,,-5.69254016876,-0.513571977615
1635821699343810460,583,1635821699343676090,,1.04640996456,3.53907608986
1635821699347633601,584,1635821699347541093,,14.5407400131,2.87013792992
