%time,field.header.seq,field.header.stamp,field.header.frame_id,field.X,field.Y,field.Z,field.A,field.B,field.C
1635821762094955101,395603,0,,1131.63110352,-1912.36218262,1227.29187012,-90.0715026855,-0.560000002384,178.158401489
1635821762099046965,395604,0,,1131.62988281,-1912.26611328,1227.29382324,-90.0715026855,-0.560199975967,178.158401489
1635821762102978341,395605,0,,1131.62927246,-1912.17004395,1227.29699707,-90.0716018677,-0.560400009155,178.158401489
1635821762106980133,395606,0,,1131.62805176,-1912.07226562,1227.29833984,-90.0716018677,-0.560500025749,178.158493042
1635821762111080220,395607,0,,1131.62792969,-1911.97155762,1227.29650879,-90.0716018677,-0.560500025749,178.158493042
1635821762115041740,395608,0,,1131.62780762,-1911.87072754,1227.29406738,-90.0716018677,-0.560400009155,178.158493042
1635821762119039715,395609,0,,1131.62792969,-1911.77197266,1227.29333496,-90.0717010498,-0.560500025749,178.158599854
1635821762123113340,395610,0,,1131.62866211,-1911.67382812,1227.29492188,-90.0716018677,-0.560699999332,178.158599854
1635821762127030448,395611,0,,1131.62890625,-1911.57507324,1227.29785156,-90.0717010498,-0.560899972916,178.158706665
1635821762131072682,395612,0,,1131.62976074,-1911.47521973,1227.29882812,-90.0717010498,-0.56099998951,178.158706665
1635821762134973727,395613,0,,1131.63049316,-1911.37414551,1227.296875,-90.0716018677,-0.561100006104,178.158706665
1635821762138943425,395614,0,,1131.63049316,-1911.27368164,1227.29675293,-90.0717010498,-0.561100006104,178.158798218
1635821762142944024,395615,0,,1131.63134766,-1911.17529297,1227.29785156,-90.0717010498,-0.561299979687,178.158798218
1635821762147021835,395616,0,,1131.63183594,-1911.07788086,1227.29943848,-90.0717010498,-0.561399996281,178.158905029
1635821762151032559,395617,0,,1131.63220215,-1910.98034668,1227.30224609,-90.0717010498,-0.561600029469,178.158905029
1635821762155002212,395618,0,,1131.63269043,-1910.8815918,1227.30334473,-90.0717010498,-0.561699986458,178.158996582
1635821762159085419,395619,0,,1131.63354492,-1910.78173828,1227.30200195,-90.0717010498,-0.561699986458,178.158996582
1635821762162998628,395620,0,,1131.63317871,-1910.68164062,1227.30187988,-90.0718002319,-0.561800003052,178.158996582
1635821762167031030,395621,0,,1131.6340332,-1910.58215332,1227.30285645,-90.0718002319,-0.561900019646,178.159103394
1635821762171155662,395622,0,,1131.63427734,-1910.48303223,1227.30419922,-90.0718002319,-0.561900019646,178.159103394
1635821762175068669,395623,0,,1131.6340332,-1910.38439941,1227.30700684,-90.0718002319,-0.562099993229,178.159103394
1635821762178995581,395624,0,,1131.63439941,-1910.2845459,1227.30932617,-90.0718002319,-0.562200009823,178.159194946
1635821762183082999,395625,0,,1131.63415527,-1910.18408203,1227.30822754,-90.0718994141,-0.562200009823,178.159194946
1635821762187041673,395626,0,,1131.63354492,-1910.08569336,1227.30932617,-90.0718994141,-0.562300026417,178.159301758
1635821762190994957,395627,0,,1131.63317871,-1909.98974609,1227.31481934,-90.0719985962,-0.562600016594,178.159301758
1635821762195049322,395628,0,,1131.63232422,-1909.89489746,1227.3215332,-90.0719985962,-0.563000023365,178.159301758
1635821762199016162,395629,0,,1131.63220215,-1909.7989502,1227.32763672,-90.0720977783,-0.563300013542,178.159393311
1635821762203014919,395630,0,,1131.63208008,-1909.69946289,1227.33007812,-90.0720977783,-0.563399970531,178.159393311
1635821762207040499,395631,0,,1131.63171387,-1909.59765625,1227.32861328,-90.0721969604,-0.563399970531,178.159500122
1635821762211092170,395632,0,,1131.63146973,-1909.49719238,1227.32641602,-90.0721969604,-0.563399970531,178.159500122
1635821762215046235,395633,0,,1131.63146973,-1909.39697266,1227.32531738,-90.072303772,-0.563399970531,178.159500122
1635821762219108548,395634,0,,1131.63208008,-1909.29748535,1227.32495117,-90.072303772,-0.563499987125,178.159606934
1635821762222990829,395635,0,,1131.63293457,-1909.19641113,1227.3236084,-90.072303772,-0.563499987125,178.159606934
1635821762226946530,395636,0,,1131.6328125,-1909.09521484,1227.32263184,-90.0724029541,-0.563600003719,178.159698486
1635821762231071908,395637,0,,1131.6340332,-1908.99377441,1227.31945801,-90.0724029541,-0.563499987125,178.159698486
1635821762234978320,395638,0,,1131.63439941,-1908.89404297,1227.31677246,-90.0724029541,-0.563499987125,178.159698486
1635821762238991658,395639,0,,1131.63525391,-1908.79760742,1227.31933594,-90.0724029541,-0.563799977303,178.159805298
1635821762243084154,395640,0,,1131.6361084,-1908.70019531,1227.3215332,-90.0725021362,-0.563899993896,178.159805298
1635821762246960534,395641,0,,1131.63586426,-1908.60168457,1227.32214355,-90.0725021362,-0.56400001049,178.159896851
1635821762250985459,395642,0,,1131.63623047,-1908.50183105,1227.3215332,-90.0726013184,-0.564100027084,178.159896851
1635821762254974894,395643,0,,1131.63684082,-1908.4005127,1227.31933594,-90.0726013184,-0.56400001049,178.159896851
1635821762259065267,395644,0,,1131.6361084,-1908.3013916,1227.31860352,-90.0726013184,-0.56400001049,178.159896851
1635821762262970635,395645,0,,1131.63647461,-1908.2019043,1227.3190918,-90.0727005005,-0.56400001049,178.159896851
1635821762266987386,395646,0,,1131.6361084,-1908.10253906,1227.32067871,-90.0727996826,-0.564100027084,178.160003662
1635821762270932007,395647,0,,1131.63659668,-1908.00195312,1227.32019043,-90.0727996826,-0.564100027084,178.160003662
1635821762274865921,395648,0,,1131.63659668,-1907.90087891,1227.31921387,-90.0727996826,-0.564100027084,178.160003662
1635821762279010845,395649,0,,1131.6361084,-1907.79931641,1227.31738281,-90.0728988647,-0.564100027084,178.160003662
1635821762282983862,395650,0,,1131.63549805,-1907.69958496,1227.31506348,-90.0728988647,-0.56400001049,178.160003662
1635821762286974833,395651,0,,1131.63562012,-1907.60180664,1227.31518555,-90.0728988647,-0.56400001049,178.160003662
1635821762291079206,395652,0,,1131.63391113,-1907.50366211,1227.31726074,-90.073097229,-0.564100027084,178.160003662
1635821762294996317,395653,0,,1131.63317871,-1907.40405273,1227.31677246,-90.0731964111,-0.56400001049,178.160003662
1635821762298904292,395654,0,,1131.63317871,-1907.30126953,1227.31335449,-90.0731964111,-0.563899993896,178.160003662
1635821762303047804,395655,0,,1131.63305664,-1907.19812012,1227.3092041,-90.0733032227,-0.563700020313,178.160003662
1635821762307001936,395656,0,,1131.63208008,-1907.09655762,1227.3059082,-90.0734024048,-0.563499987125,178.160003662
1635821762311014158,395657,0,,1131.63195801,-1906.99609375,1227.30554199,-90.0734024048,-0.563499987125,178.160003662
1635821762314962294,395658,0,,1131.63232422,-1906.8951416,1227.30505371,-90.0734024048,-0.563499987125,178.160003662
1635821762318896787,395659,0,,1131.63171387,-1906.79296875,1227.30395508,-90.0735015869,-0.563399970531,178.160003662
1635821762322964339,395660,0,,1131.63293457,-1906.69165039,1227.30273438,-90.0735015869,-0.563300013542,178.160003662
1635821762327062082,395661,0,,1131.63317871,-1906.59350586,1227.30419922,-90.073600769,-0.563399970531,178.160095215
1635821762330983712,395662,0,,1131.6328125,-1906.49731445,1227.30761719,-90.073600769,-0.563600003719,178.160003662
1635821762334929009,395663,0,,1131.63269043,-1906.4005127,1227.31152344,-90.0736999512,-0.563799977303,178.160003662
1635821762338948199,395664,0,,1131.63269043,-1906.3026123,1227.31506348,-90.0737991333,-0.563899993896,178.160003662
1635821762343039904,395665,0,,1131.63293457,-1906.203125,1227.31652832,-90.0737991333,-0.56400001049,178.160003662
1635821762346883479,395666,0,,1131.63256836,-1906.10144043,1227.31311035,-90.0737991333,-0.563799977303,178.160003662
1635821762350990670,395667,0,,1131.63269043,-1906.00048828,1227.31018066,-90.0738983154,-0.563700020313,178.160003662
1635821762354987314,395668,0,,1131.63244629,-1905.89978027,1227.30883789,-90.0738983154,-0.563700020313,178.160003662
1635821762358918232,395669,0,,1131.63146973,-1905.80053711,1227.30786133,-90.0739974976,-0.563700020313,178.160003662
1635821762363068101,395670,0,,1131.63171387,-1905.70007324,1227.30761719,-90.0739974976,-0.563700020313,178.160003662
1635821762366992480,395671,0,,1131.6307373,-1905.59936523,1227.30700684,-90.0740966797,-0.563799977303,178.160003662
1635821762370952179,395672,0,,1131.63024902,-1905.49768066,1227.30529785,-90.0740966797,-0.563700020313,178.159896851
1635821762375019722,395673,0,,1131.6295166,-1905.39672852,1227.30529785,-90.0742034912,-0.563700020313,178.159896851
1635821762379049368,395674,0,,1131.62817383,-1905.29858398,1227.30712891,-90.0742034912,-0.563799977303,178.159896851
1635821762382921899,395675,0,,1131.62805176,-1905.20092773,1227.30944824,-90.0743026733,-0.563899993896,178.159805298
1635821762387172762,395676,0,,1131.62792969,-1905.10083008,1227.31054688,-90.0743026733,-0.563899993896,178.159805298
1635821762390982268,395677,0,,1131.62658691,-1904.99755859,1227.30957031,-90.0743026733,-0.563799977303,178.159698486
1635821762394943198,395678,0,,1131.62634277,-1904.89624023,1227.30810547,-90.0744018555,-0.563700020313,178.159698486
1635821762399046004,395679,0,,1131.62609863,-1904.79638672,1227.30895996,-90.0743026733,-0.563700020313,178.159698486
1635821762402941119,395680,0,,1131.62609863,-1904.6965332,1227.31091309,-90.0743026733,-0.563799977303,178.159698486
1635821762407050810,395681,0,,1131.62548828,-1904.59631348,1227.31201172,-90.0743026733,-0.563799977303,178.159606934
1635821762411003903,395682,0,,1131.625,-1904.49487305,1227.3112793,-90.0743026733,-0.563700020313,178.159606934
1635821762414950816,395683,0,,1131.625,-1904.39257812,1227.31066895,-90.0743026733,-0.563600003719,178.159500122
1635821762418966241,395684,0,,1131.62536621,-1904.29150391,1227.30969238,-90.0743026733,-0.563600003719,178.159500122
1635821762423052814,395685,0,,1131.62536621,-1904.19226074,1227.30871582,-90.0743026733,-0.563600003719,178.159500122
1635821762426984841,395686,0,,1131.62524414,-1904.09448242,1227.31018066,-90.0742034912,-0.563600003719,178.159500122
1635821762430900121,395687,0,,1131.62561035,-1903.9967041,1227.31140137,-90.0742034912,-0.563600003719,178.159393311
1635821762434962071,395688,0,,1131.625,-1903.89672852,1227.31066895,-90.0743026733,-0.563600003719,178.159393311
1635821762439014486,395689,0,,1131.62463379,-1903.79528809,1227.30908203,-90.0743026733,-0.563499987125,178.159393311
1635821762442971545,395690,0,,1131.625,-1903.69372559,1227.30749512,-90.0743026733,-0.563399970531,178.159393311
1635821762447139756,395691,0,,1131.62438965,-1903.5916748,1227.30517578,-90.0743026733,-0.563300013542,178.159301758
1635821762450997911,395692,0,,1131.62414551,-1903.49133301,1227.30566406,-90.0743026733,-0.563300013542,178.159301758
1635821762454926063,395693,0,,1131.62353516,-1903.39013672,1227.3046875,-90.0743026733,-0.563199996948,178.159301758
1635821762459017283,395694,0,,1131.62341309,-1903.28869629,1227.30358887,-90.0743026733,-0.563199996948,178.159194946
1635821762463007812,395695,0,,1131.62207031,-1903.18737793,1227.30236816,-90.0744018555,-0.563199996948,178.159194946
1635821762467082171,395696,0,,1131.62194824,-1903.08850098,1227.30358887,-90.0744018555,-0.563300013542,178.159194946
1635821762471014548,395697,0,,1131.62158203,-1902.99182129,1227.30627441,-90.0744018555,-0.563499987125,178.159194946
1635821762475027944,395698,0,,1131.62133789,-1902.89624023,1227.31201172,-90.0744018555,-0.563799977303,178.159103394
1635821762479081309,395699,0,,1131.62072754,-1902.79968262,1227.31628418,-90.0743026733,-0.56400001049,178.159103394
1635821762483107128,395700,0,,1131.62011719,-1902.69873047,1227.31311035,-90.0743026733,-0.563799977303,178.159103394
1635821762487091460,395701,0,,1131.62060547,-1902.59667969,1227.30834961,-90.0743026733,-0.563600003719,178.159103394
1635821762491040291,395702,0,,1131.6204834,-1902.4954834,1227.30480957,-90.0743026733,-0.563499987125,178.159103394
1635821762495082946,395703,0,,1131.62036133,-1902.39599609,1227.30310059,-90.0742034912,-0.563399970531,178.159103394
1635821762499073312,395704,0,,1131.62072754,-1902.29675293,1227.30236816,-90.0742034912,-0.563499987125,178.158996582
1635821762503013464,395705,0,,1131.62097168,-1902.19677734,1227.30151367,-90.0742034912,-0.563499987125,178.159103394
