%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration
1592031206610297414,1448,1592031206507885932,,0.0
1592031206663067401,1449,1592031206610341072,,0.0
1592031206716189334,1450,1592031206662705898,,0.0
1592031206769289429,1451,1592031206716398954,,0.0
1592031206821333888,1452,1592031206768942117,,0.0
1592031206872832582,1453,1592031206821106910,,0.0
1592031206925397965,1454,1592031206872951030,,0.0
1592031206978247608,1455,1592031206925487995,,0.0
1592031207030443815,1456,1592031206977911949,,0.0
1592031207134172749,1457,1592031207030386924,,0.0
1592031207185201552,1458,1592031207133510112,,0.0
1592031207236552395,1459,1592031207184968948,,0.0
1592031207289316113,1460,1592031207236644029,,0.0
1592031207342285348,1461,1592031207289024114,,0.0
1592031207394921088,1462,1592031207341929912,,0.0
1592031207447095746,1463,1592031207394428014,,0.0
1592031207502679692,1464,1592031207447181940,,0.0
1592031207555504438,1465,1592031207502646923,,0.0
1592031207607263495,1466,1592031207555521011,,0.0
1592031207659597754,1467,1592031207607301950,,0.0
1592031207713648877,1468,1592031207659754991,,0.0
1592031207766035579,1469,1592031207713284969,,0.0
1592031207867511706,1470,1592031207765733957,,0.0
1592031207919274708,1471,1592031207867568969,,0.0
1592031207972725554,1472,1592031207919120073,,0.0
1592031208024817636,1473,1592031207972341060,,0.0
1592031208127663229,1474,1592031208024955987,,0.0
1592031208179794370,1475,1592031208127357006,,0.0
1592031208232759752,1476,1592031208179959058,,0.0
1592031208335215128,1477,1592031208232830047,,0.0
1592031208388529845,1478,1592031208335443973,,0.0
1592031208440497718,1479,1592031208387835025,,0.0
1592031208492750969,1480,1592031208439455986,,0.0
1592031208544864501,1481,1592031208492192983,,0.0
1592031208646554355,1482,1592031208544574022,,0.0
1592031208698758864,1483,1592031208646368980,,0.0
1592031208751142418,1484,1592031208698812007,,0.0
1592031208804998367,1485,1592031208751329898,,0.0
1592031208907565602,1486,1592031208804075956,,0.0
1592031208959525794,1487,1592031208907304048,,0.0
1592031209012003103,1488,1592031208959230899,,0.0
1592031209064359574,1489,1592031209011655092,,0.0
1592031209118869601,1490,1592031209064034938,,0.0
1592031209221596473,1491,1592031209118330955,,0.0
1592031209274113704,1492,1592031209221822023,,0.0
1592031209326863910,1493,1592031209274187088,,0.0
1592031209379417179,1494,1592031209326478004,,0.0
1592031209430697027,1495,1592031209379039049,,0.0
1592031209534065073,1496,1592031209430697917,,0.0
1592031209586050471,1497,1592031209533575057,,0.0
1592031209638616797,1498,1592031209586122035,,0.0
1592031209691247198,1499,1592031209638751983,,0.0
1592031209743299021,1500,1592031209691298007,,0.0
1592031209796058436,1501,1592031209743351936,,0.0
1592031209848611740,1502,1592031209795731067,,0.0
1592031209901310587,1503,1592031209848750114,,0.0
1592031209954362378,1504,1592031209901401042,,0.0
1592031210057638397,1505,1592031209953799009,,0.0
1592031210108342768,1506,1592031210056221961,,0.0
1592031210161724925,1507,1592031210107815980,,0.0
1592031210214583955,1508,1592031210161407947,,0.0
1592031210267048932,1509,1592031210213778018,,0.0
1592031210319549801,1510,1592031210266632080,,0.0
1592031210370756188,1511,1592031210319236993,,0.0
1592031210422876483,1512,1592031210370780944,,0.0
1592031210474573206,1513,1592031210422585964,,0.0
1592031210578042087,1514,1592031210474591970,,0.0
1592031210628835940,1515,1592031210577071905,,0.0
1592031210680495998,1516,1592031210628972053,,0.0
1592031210733329224,1517,1592031210680550098,,0.0
1592031210785764281,1518,1592031210733020067,,0.0
1592031210838281653,1519,1592031210785428047,,0.0
1592031210889694076,1520,1592031210837925910,,0.0
1592031210942180809,1521,1592031210889451980,,0.0
1592031210994886176,1522,1592031210941939115,,0.0
1592031211047468186,1523,1592031210994468927,,0.0
1592031211100489749,1524,1592031211046938896,,0.0
1592031211151972783,1525,1592031211100152015,,0.0
1592031211204337790,1526,1592031211151622056,,0.0
1592031211256666416,1527,1592031211203998088,,0.0
1592031211310332107,1528,1592031211256366014,,0.0
1592031211363030989,1529,1592031211308967113,,0.0
1592031211419567510,1530,1592031211363219976,,0.0
1592031211471737759,1531,1592031211419312000,,0.0
1592031211524542365,1532,1592031211471798896,,0.0
1592031211577723754,1533,1592031211524611949,,0.0
1592031211628711726,1534,1592031211577079057,,0.0
1592031211680443653,1535,1592031211628725051,,0.0
1592031211732494112,1536,1592031211680551052,,0.0
1592031211783942548,1537,1592031211732501029,,0.0
1592031211836965744,1538,1592031211784141063,,0.0
1592031211888984060,1539,1592031211836571931,,0.0
1592031211992540445,1540,1592031211889004945,,0.0
1592031212044505984,1541,1592031211992172956,,0.0
1592031212097769302,1542,1592031212044547080,,0.0
1592031212155189054,1543,1592031212097251892,,0.0
1592031212207577755,1544,1592031212154872894,,0.0
1592031212260518724,1545,1592031212207257032,,0.0
1592031212363085700,1546,1592031212260668039,,0.0
1592031212419515906,1547,1592031212363163948,,0.0
1592031212472063279,1548,1592031212419153928,,0.0
1592031212525245493,1549,1592031212471853971,,0.0
1592031212578186817,1550,1592031212524907112,,0.0
1592031212680237262,1551,1592031212577600955,,0.0
1592031212733853990,1552,1592031212679915904,,0.0
1592031212787666691,1553,1592031212733395099,,0.0
1592031212840068320,1554,1592031212787731885,,0.0
1592031212892740036,1555,1592031212840118885,,0.0
1592031212945110727,1556,1592031212892366886,,0.0
1592031212996703752,1557,1592031212944596052,,0.0
1592031213048461848,1558,1592031212996069908,,0.0
1592031213101043081,1559,1592031213048520088,,0.0
1592031213154951827,1560,1592031213101387023,,0.0
1592031213206852227,1561,1592031213155050039,,0.0
1592031213259910507,1562,1592031213206594944,,0.0
1592031213311825876,1563,1592031213259499073,,0.0
1592031213363248491,1564,1592031213311198949,,0.0
1592031213416221172,1565,1592031213363327026,,0.0
1592031213468572670,1566,1592031213415852069,,0.0
1592031213522986197,1567,1592031213468317031,,0.0
1592031213575597496,1568,1592031213522619962,,0.0
1592031213628997798,1569,1592031213575273036,,0.0
1592031213680876016,1570,1592031213629117012,,0.0
1592031213732629512,1571,1592031213680793046,,0.0
1592031213785825040,1572,1592031213732536077,,0.0
1592031213839318106,1573,1592031213784966945,,0.0
1592031213944481116,1574,1592031213839134931,,0.0
1592031213995714142,1575,1592031213944001913,,0.0
1592031214048406054,1576,1592031213995402097,,0.0
1592031214150394251,1577,1592031214048146009,,0.0
1592031214202052208,1578,1592031214150149106,,0.0
1592031214259372848,1579,1592031214202117919,,0.0
1592031214307050085,1580,1592031214254775047,,0.0
1592031214358492482,1581,1592031214307095050,,0.0
1592031214411981642,1582,1592031214358608007,,0.0
1592031214464159220,1583,1592031214411034107,,0.0
1592031214517281143,1584,1592031214463470935,,0.0
1592031214572113228,1585,1592031214517478942,,0.0
1592031214624674995,1586,1592031214571764945,,0.0
1592031214676594977,1587,1592031214624308109,,0.0
1592031214730368628,1588,1592031214676753044,,0.0
1592031214782239773,1589,1592031214729623079,,0.0
1592031214885422157,1590,1592031214782305955,,0.0
1592031214939159167,1591,1592031214885452985,,0.0
1592031214991985680,1592,1592031214939215898,,0.0
1592031215044947723,1593,1592031214991683006,,0.0
1592031215098282294,1594,1592031215045111894,,0.0
1592031215149910054,1595,1592031215097753047,,0.0
1592031215201188512,1596,1592031215149594068,,0.0
1592031215254242171,1597,1592031215201277971,,0.0
1592031215355420152,1598,1592031215253756999,,0.0
1592031215408299287,1599,1592031215355207920,,0.0
1592031215460062076,1600,1592031215408031940,,0.0
1592031215512225610,1601,1592031215459886074,,0.0
1592031215565806573,1602,1592031215512312889,,0.0
1592031215617510490,1603,1592031215564796924,,0.0
1592031215669998122,1604,1592031215617152929,,0.000169999999343
1592031215723352376,1605,1592031215669675111,,0.0
1592031215776119829,1606,1592031215723567962,,0.0
1592031215828897732,1607,1592031215776201963,,0.0
1592031215880949700,1608,1592031215828553915,,0.0
1592031215932893632,1609,1592031215880961894,,0.0
1592031215985494459,1610,1592031215932917118,,0.0
1592031216039496888,1611,1592031215986073017,,0.0
1592031216091153878,1612,1592031216039763927,,0.0
1592031216143437832,1613,1592031216091214895,,0.0
1592031216195377676,1614,1592031216142998933,,0.0
1592031216248421228,1615,1592031216195442914,,0.0
1592031216350289705,1616,1592031216247864007,,0.0
1592031216403196523,1617,1592031216350353002,,0.0
1592031216455147652,1618,1592031216402821063,,0.0
1592031216508783398,1619,1592031216455218076,,0.0
1592031216611258100,1620,1592031216507442951,,0.0
1592031216663028871,1621,1592031216611418962,,0.0
1592031216715922958,1622,1592031216663069963,,0.0
1592031216767067362,1623,1592031216715516090,,0.0
1592031216818986349,1624,1592031216767029047,,-0.000159999995958
1592031216871972370,1625,1592031216818646907,,0.0
1592031216924066417,1626,1592031216871061086,,0.0
1592031216976468736,1627,1592031216923574924,,0.0
1592031217028856410,1628,1592031216975975036,,0.0
1592031217079918816,1629,1592031217028069972,,0.0
