%time,field.header.seq,field.header.stamp,field.header.frame_id,field.absolute_acceleration,field.ax,field.ay,field.az
1591865208551831803,620,1591865208500643014,,0.000300000014249,-2.99999992421e-05,-0.000250000011874,0.000169999999343
1591865208604455504,621,1591865208551857948,,0.000300000014249,0.000110000000859,-0.000199999994948,0.000140000003739
1591865208657406686,622,1591865208604114055,,9.99999974738e-05,-1.99999994948e-05,4.99999987369e-05,-3.99999989895e-05
1591865208710909324,623,1591865208656889915,,0.000399999989895,0.000220000001718,-0.000260000000708,0.000260000000708
1591865208764666720,624,1591865208710621118,,0.000199999994948,-5.99999984843e-05,-4.99999987369e-05,0.000209999998333
1591865208816424495,625,1591865208764029026,,9.99999974738e-05,-5.99999984843e-05,2.99999992421e-05,-9.00000013644e-05
1591865209168960405,626,1591865208816132068,,0.000500000023749,0.000140000003739,0.000209999998333,-0.000429999985499
1591865209220587136,627,1591865209168350934,,0.00170000002254,0.00153999996837,0.000390000001062,0.000509999983478
1591865209274291119,628,1591865209220671892,,0.0273000001907,0.0262599997222,0.00747000006959,0.00101999996696
1591865209326590773,629,1591865209273902893,,0.0667999982834,0.064240001142,0.0183499995619,0.000159999995958
1591865209378669306,630,1591865209326056003,,0.0965000018477,0.0928800031543,0.0260300002992,-0.000739999988582
1591865209430774189,631,1591865209378258943,,0.0953999981284,0.092009998858,0.0251599997282,-0.000780000002123
1591865209482968204,632,1591865209430460929,,0.0952999964356,0.0920300036669,0.0248799994588,-0.000399999989895
1591865209535305399,633,1591865209483010053,,0.0976999998093,0.0944000035524,0.0253800004721,-0.000239999993937
1591865209587677928,634,1591865209535350084,,0.0980999991298,0.0948200002313,0.0251199994236,4.99999987369e-05
1591865209639643596,635,1591865209587389945,,0.0938000008464,0.090729996562,0.0239700004458,0.000339999998687
1591865209691491799,636,1591865209639328956,,0.0976999998093,0.0944399982691,0.0249099992216,0.000429999985499
1591865209744453627,637,1591865209691565990,,0.149100005627,0.144079998136,0.0381899997592,-9.99999974738e-05
1591865209795944069,638,1591865209743763923,,0.106499999762,0.103139996529,0.0263599995524,-0.00104000000283
1591865209848407244,639,1591865209795986890,,0.047800000757,0.0466400012374,0.0104400003329,0.000119999996969
1591865209900560311,640,1591865209848109960,,0.00300000002608,0.0024600001052,-0.00121000001673,0.00130999996327
1591865210003114188,641,1591865209900443077,,0.00230000005104,0.00165999995079,-0.000419999996666,0.00158000004012
1591865210055379648,642,1591865210003174066,,0.00249999994412,0.00215000007302,0.000369999994291,0.00113999994937
1591865210107740815,643,1591865210055419921,,0.00109999999404,-0.000460000010207,-0.000130000000354,0.000980000011623
1591865210160144202,644,1591865210107822895,,0.00380000006407,-0.00375999999233,-0.000479999987874,0.000360000005458
1591865210212492311,645,1591865210159890890,,0.0054999999702,0.0052100000903,0.00182000000495,-9.99999974738e-06
1591865210314566862,646,1591865210212230920,,0.00079999997979,-0.000720000010915,0.000180000002729,-0.000410000007832
1591865210367613038,647,1591865210314374923,,0.00209999992512,-0.00197999994271,-0.000140000003739,-0.000609999988228
1591865210419905184,648,1591865210367012977,,0.00150000001304,0.00135000003502,0.000709999992978,3.99999989895e-05
1591865210471942908,649,1591865210419265031,,0.00150000001304,-0.00150000001304,-0.000130000000354,0.000180000002729
1591865210574262017,650,1591865210471626996,,0.00159999995958,-0.00156999996398,0.000190000006114,0.000289999996312
1591865210626077970,651,1591865210573807001,,0.00079999997979,-0.000809999997728,-0.000110000000859,-9.00000013644e-05
1591865210678001326,652,1591865210625879049,,0.00289999996312,-0.00260000000708,-0.000869999988936,-0.0010000000475
1591865210729627498,653,1591865210677654027,,0.001200000057,-0.0010000000475,-0.000220000001718,-0.000590000010561
1591865210781854105,654,1591865210729702949,,0.00209999992512,0.00208000000566,0.000440000003437,2.99999992421e-05
1591865210834307483,655,1591865210781884908,,0.00279999990016,-0.00260000000708,-0.000390000001062,-0.000850000011269
1591865210886156892,656,1591865210834036111,,0.0197000000626,-0.0190799999982,-0.0050499998033,-7.00000018696e-05
1591865210938336715,657,1591865210886210918,,0.0756999999285,-0.0730900019407,-0.0197999998927,-0.000310000003083
1591865210990787450,658,1591865210938483953,,0.131699994206,-0.127709999681,-0.0322399996221,-0.00292000011541
1591865211092648168,659,1591865210990552902,,0.188099995255,-0.188099995255,-0.00138000003062,0.000630000024103
1591865211144801018,660,1591865211092691898,,0.217899993062,-0.210510000587,0.0561099983752,0.00133999995887
1591865211196543443,661,1591865211144855022,,0.226799994707,-0.212139993906,0.0803399980068,0.000850000011269
1591865211248409967,662,1591865211196304082,,0.212200000882,-0.191679999232,0.0909200012684,0.00121000001673
1591865211300558732,663,1591865211248186111,,0.198200002313,-0.17215000093,0.0982500016689,-0.000869999988936
1591865211401625589,664,1591865211300297021,,0.200299993157,-0.186900004745,0.0720499977469,0.00089000002481
1591865211454433535,665,1591865211401629924,,0.245299994946,-0.244949996471,-0.0126700000837,-0.00304999994114
1591865211506306076,666,1591865211453385114,,0.23939999938,-0.236780002713,-0.0352800004184,-7.9999997979e-05
1591865211558492710,667,1591865211506046056,,0.182300001383,-0.181360006332,-0.0186199992895,-0.000330000009853
1591865211610605747,668,1591865211558199882,,0.134700000286,-0.134419992566,-0.00824000034481,0.00187999999616
1591865211661741920,669,1591865211610336065,,0.0879999995232,-0.0793799981475,-0.037879999727,-0.000869999988936
1591865211713902487,670,1591865211661571979,,0.113399997354,-0.0454999990761,-0.103809997439,-0.00271999998949
1591865211765379833,671,1591865211713331937,,0.136600002646,-0.0608600005507,-0.122299998999,-0.00167999998666
1591865211817607192,672,1591865211765444040,,0.157100006938,-0.0840200036764,-0.13275000453,-0.000520000001416
1591865211869879951,673,1591865211817684888,,0.174400001764,-0.103129997849,-0.140650004148,0.00079999997979
1591865211972242496,674,1591865211869374990,,0.147200003266,-0.0877500027418,-0.118220001459,-0.00156000000425
1591865212023726041,675,1591865211971707105,,0.0375000014901,-0.00419999985024,-0.0369900017977,0.00407999986783
1591865212075810902,676,1591865212023808002,,0.0136000001803,0.00340000004508,-0.013209999539,-0.000399999989895
1591865212126965772,677,1591865212075535058,,0.0209999997169,-0.000369999994291,-0.0210200008005,-0.000369999994291
1591865212178371596,678,1591865212127012968,,0.0239000003785,0.00400000018999,-0.0235300008208,-1.99999994948e-05
1591865212231492018,679,1591865212178380012,,0.0254999995232,0.00147000001743,-0.025399999693,-0.000690000015311
