%time,field.header.seq,field.header.stamp,field.header.frame_id,field.linear_x,field.linear_y,field.linear_z
1573009276046089851,1952,1573009275991518020,,-0.00159107195213,-5.99484665145e-05,7.42960473872e-05
1573009276100268180,1953,1573009276046658992,,3.98738629883e-05,-5.61670185562e-06,8.71893134899e-05
1573009276154357550,1954,1573009276100580930,,-3.24805259879e-05,-5.01952381455e-05,-4.56014677184e-05
1573009276258222578,1955,1573009276154422044,,2.6923275982e-06,-5.22760892636e-05,-4.28822240792e-05
1573009276312710255,1956,1573009276258361101,,-6.39159115963e-05,6.27264889772e-05,7.0789224992e-05
1573009276367882811,1957,1573009276314385890,,-4.1117593355e-05,-1.59597475431e-05,-6.15261451458e-05
1573009276472432372,1958,1573009276368747949,,4.13039269915e-05,2.92596923828e-05,5.68671566725e-05
1573009276527592135,1959,1573009276474178075,,-7.9332421592e-06,-2.2816906494e-05,-2.8860204111e-05
1573009276581970591,1960,1573009276528007030,,-3.1043207855e-05,-1.44010773511e-05,1.10867881631e-06
1573009276635281686,1961,1573009276582175970,,6.02169211561e-06,-5.67912538827e-05,-0.000114673654025
1573009276689810966,1962,1573009276636230945,,2.69730026048e-05,4.25530888606e-05,5.13840132044e-05
1573009276744110041,1963,1573009276689872026,,0.000170998173417,-2.69023403234e-05,-9.88671581581e-06
1573009276798030917,1964,1573009276744622945,,-3.74959454348e-05,-6.89566877554e-05,-0.000142646502354
1573009276852019468,1965,1573009276798309087,,2.73094719887e-05,0.000117970077554,0.00013337690325
1573009276956872492,1966,1573009276852293014,,1.18481693789e-05,-9.66807056102e-05,-7.99898043624e-05
1573009277011583738,1967,1573009276958254098,,-5.38473395864e-05,4.468143743e-05,3.20328981616e-05
1573009277065507303,1968,1573009277012352943,,7.28995200916e-06,-2.9675420592e-05,-9.52242680796e-06
1573009277119261855,1969,1573009277065797090,,2.27763157454e-05,6.28545094514e-05,6.05801978963e-05
1573009277172013380,1970,1573009277119651079,,-4.35033280155e-06,6.73683643981e-06,5.04306126459e-06
1573009277225883434,1971,1573009277172955036,,2.88054125122e-05,4.80424969282e-05,3.65923096979e-06
1573009277280088317,1972,1573009277226850032,,-3.41775739798e-05,2.48952692345e-05,2.5836066925e-05
1573009277334944988,1973,1573009277280643939,,6.48448258289e-05,8.36801627884e-05,9.44508210523e-05
1573009277440151005,1974,1573009277335397958,,-2.14273986785e-05,-4.9843765737e-05,-7.51290281187e-05
1573009277494236415,1975,1573009277440279960,,1.52397069542e-05,4.22667653766e-05,4.63170472358e-05
1573009277547862702,1976,1573009277494611978,,1.07179539555e-05,-3.45375738107e-05,-1.11462732093e-05
1573009277601615326,1977,1573009277548413038,,-0.000137549053761,-0.000137728158734,-0.000165328354342
1573009277656128791,1978,1573009277601983070,,3.29637769028e-05,-8.96708661458e-05,-4.49354738521e-05
1573009277709671083,1979,1573009277656500101,,6.24398162472e-05,-5.51031098439e-06,-1.10649207272e-05
1573009278113812176,1980,1573009277710081100,,-6.25760549156e-06,4.71463245049e-05,5.25936411577e-06
